""	./WT_1	./WT_2	./WT_3	./Y2_1	./Y2_2	./Y2_3	./YT_1	./YT_2	./YT_3
MTATP8P1	0	0	0	2	0	0	1	0	0
MTATP6P1	470	1095	2597	17561	1481	3258	23536	40773	4156
MTCO3P12	71	97	1	1239	82	0	1222	1959	1
WBP1LP6	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0	0	0	0
CICP3	0	0	0	0	0	0	0	0	0
RNU6-1199P	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0	0	0	0
LINC01409	3	15	27	20	24	46	87	48	48
ENSG00000285268	0	0	0	0	0	0	0	0	0
ENSG00000230092	0	0	0	0	0	0	0	0	0
FAM87B	0	0	0	0	4	0	0	0	1
LINC01128	241	224	289	489	219	411	670	442	493
ENSG00000297178	0	0	0	0	0	0	0	0	0
ENSG00000297224	0	0	0	0	0	0	0	0	0
FAM41C	0	1	0	1	0	0	0	0	0
TUBB8P11	0	0	0	4	0	0	0	3	0
ENSG00000283040	0	0	0	0	0	0	0	0	0
ENSG00000296088	0	0	0	0	0	0	0	0	0
ENSG00000272438	55	35	149	248	72	346	135	84	135
ENSG00000298603	0	0	0	0	0	0	0	0	0
LINC02593	0	1	38	49	8	28	1	8	2
SAMD11	4	7	150	294	13	76	2	36	5
NOC2L	5386	4794	4852	10710	3119	9458	5757	3399	8230
KLHL17	356	301	590	629	350	1050	486	151	727
PLEKHN1	51	45	68	59	10	88	6	8	15
PERM1	0	0	1	1	0	4	1	0	0
ENSG00000303599	0	0	0	1	0	0	0	0	0
ENSG00000272512	1	4	5	3	2	0	1	0	1
HES4	6	4	75	35	19	22	13	8	9
ENSG00000303623	2	0	0	1	3	0	0	0	0
ISG15	259	230	416	301	204	439	370	139	337
ENSG00000303614	0	0	0	0	1	0	0	0	0
ENSG00000231702	0	0	0	12	0	0	11	3	0
ENSG00000224969	0	0	1	0	0	0	1	0	1
AGRN	6585	5006	9397	5090	4690	8205	5358	1017	9203
ENSG00000242590	0	0	0	0	0	0	0	0	0
ENSG00000291156	65	47	80	47	28	106	67	52	11
ENSG00000273443	1	0	4	0	1	4	0	0	0
ENSG00000217801	0	0	5	0	2	9	0	0	0
ENSG00000304119	15	8	17	24	11	37	36	21	18
ENSG00000304169	0	2	1	0	1	0	4	1	0
RNF223	0	2	3	1	0	1	0	0	1
C1orf159	343	320	367	608	416	637	616	262	608
ENSG00000285812	0	0	0	0	0	0	0	0	0
ENSG00000299943	2	0	0	0	0	0	0	0	0
LINC01342	0	0	3	0	0	0	0	0	0
ENSG00000304965	0	0	1	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0
ENSG00000272141	7	8	11	0	0	3	0	0	0
TTLL10-AS1	0	2	0	0	1	1	3	1	5
TTLL10	10	15	20	0	16	10	52	4	29
TNFRSF18	16	15	23	0	0	4	0	0	3
TNFRSF4	0	2	6	0	4	7	6	0	5
SDF4	2482	2371	2150	5517	2639	3759	4052	1703	4178
B3GALT6	560	518	472	1277	641	647	1321	1057	1333
C1QTNF12	17	25	53	15	11	14	5	4	8
ENSG00000260179	1	1	1	5	2	6	4	3	4
UBE2J2	1904	1668	1432	3105	1415	2223	2590	1082	2661
LINC01786	12	11	33	7	9	48	13	3	31
SCNN1D	42	32	165	48	95	173	96	13	123
ACAP3	633	509	795	874	679	1209	835	158	1812
MIR6726	0	0	0	0	0	0	0	0	0
PUSL1	864	769	679	1053	482	776	653	193	981
INTS11	2754	2486	2905	4467	1992	5043	4394	2057	5033
MIR6727	0	0	0	0	0	0	0	0	0
ENSG00000240731	14	12	17	16	21	70	22	0	53
CPTP	437	390	350	763	365	530	489	193	688
TAS1R3	0	4	2	2	6	3	5	4	7
DVL1	1427	1353	2274	2620	1185	2392	1181	474	2545
MIR6808	0	0	0	0	0	0	0	0	0
ENSG00000304860	0	1	6	5	3	3	7	0	14
MXRA8	205	211	509	200	388	201	483	51	539
AURKAIP1	2435	2388	2336	4298	1866	3377	2236	809	3219
NDUFB4P8	0	0	0	0	0	3	0	0	0
CCNL2	1333	1280	3255	2621	1277	4106	2572	1276	5334
MRPL20-AS1	383	376	695	806	366	1227	656	335	1283
MRPL20	1275	1261	1525	2958	1074	2371	3052	2352	3206
RN7SL657P	0	0	0	0	0	0	0	0	0
ENSG00000301639	15	15	40	15	11	31	32	21	68
MRPL20-DT	54	48	120	74	44	124	127	75	132
ANKRD65	7	6	42	9	17	17	21	10	21
ANKRD65-AS1	2	3	3	1	0	1	0	3	4
TMEM88B	98	76	202	274	88	109	238	217	207
LINC01770	85	81	144	82	112	137	173	51	247
VWA1	768	717	785	1737	990	920	1480	630	1745
ATAD3C	8	13	56	13	15	41	47	16	70
ATAD3B	752	680	923	1387	323	1542	341	186	1450
ENSG00000290916	1	2	2	1	0	4	0	0	4
ENSG00000284740	0	0	0	0	0	0	0	0	0
ATAD3A	1112	1002	1058	2070	575	1409	656	336	1493
TMEM240	58	35	106	68	70	95	99	18	98
ENSG00000299413	0	0	0	0	0	0	0	0	0
SSU72	4467	3762	4676	8606	3024	6369	9274	6700	7248
SSU72-AS1	30	21	34	42	6	23	10	13	12
ENSG00000274481	0	0	0	0	0	0	0	0	0
FNDC10	1212	1017	1033	2366	1432	1474	2772	888	1312
ENSG00000286989	22	24	30	48	27	60	41	14	43
ENSG00000272106	140	135	132	157	163	248	467	271	167
MIB2	605	508	645	1006	565	935	729	230	1036
MMP23B	11	5	8	12	14	4	16	0	7
CDK11B	1376	1271	1533	2319	986	2614	2588	1319	2674
ENSG00000272004	6	4	5	13	6	5	16	5	15
SLC35E2B	2286	2079	2630	4619	2408	4754	4960	2538	5093
ENSG00000293187	1	0	0	0	0	0	0	0	0
ENSG00000269737	0	0	0	0	1	0	0	0	0
ENSG00000310190	2	3	3	1	2	3	3	2	6
ENSG00000310238	89	85	109	153	73	161	76	11	151
MMP23A	0	0	0	0	0	0	0	0	0
CDK11A	23	21	30	35	16	70	14	3	76
ENSG00000268575	66	60	52	75	66	144	174	68	115
ENSG00000293188	0	2	2	2	1	2	3	0	4
ENSG00000290854	61	67	53	74	65	138	110	44	120
SLC35E2A	0	0	0	0	0	0	0	0	0
ENSG00000227775	0	0	0	0	0	0	0	0	0
NADK	2543	2104	2505	4716	1903	4064	3418	1826	3546
ENSG00000302550	0	1	9	3	2	10	9	0	31
GNB1	17417	16400	15008	27364	13941	24938	36829	22757	25389
GNB1-DT	7	3	5	23	3	10	20	20	5
ENSG00000303984	0	0	0	0	0	0	0	0	0
ENSG00000294910	0	0	1	0	0	4	1	0	0
ENSG00000306476	1	4	1	1	1	2	4	0	2
CALML6	8	9	19	7	7	34	12	2	18
TMEM52	380	332	236	461	308	322	665	295	309
CFAP74	3	9	18	2	11	24	10	3	26
ENSG00000233542	23	19	33	4	51	72	106	13	74
GABRD	82	57	61	52	123	143	187	33	182
ENSG00000304958	5	3	23	4	5	9	8	0	7
PRKCZ-DT	2	1	2	4	4	1	2	4	0
PRKCZ	1540	1317	1835	2103	939	2084	2457	1521	2029
ENSG00000308181	0	0	0	0	0	0	0	0	0
ENSG00000271806	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	78	62	89	79	63	74	162	51	155
FAAP20	1429	1223	1254	2214	1427	1544	1904	610	1479
ENSG00000304038	5	1	1	1	2	9	0	2	8
ENSG00000234396	0	1	0	0	1	1	0	0	1
ENSG00000304143	0	1	2	0	0	0	0	1	0
SKI	3323	2522	2506	5222	2685	4529	6417	3355	4732
ENSG00000295493	0	0	1	0	0	0	0	0	0
ENSG00000287356	31	32	163	47	38	55	58	12	64
MORN1	129	108	210	244	118	307	141	91	260
ENSG00000272161	0	2	2	1	0	2	4	0	1
ENSG00000292993	21	35	48	83	14	67	46	44	82
ENSG00000269896	0	0	0	0	0	0	0	0	0
ENSG00000272420	5	1	2	4	2	4	13	10	7
ENSG00000295371	0	0	0	0	0	0	0	0	0
RER1	1901	1971	2085	3733	1613	2872	3069	1838	3136
PEX10	1010	971	1300	1829	951	1558	2158	1083	1927
PLCH2	17	8	36	18	59	49	70	5	58
ENSG00000224387	0	0	0	2	2	1	0	1	3
ENSG00000229393	0	0	1	2	1	2	7	3	1
PANK4	672	619	645	822	699	1125	1305	580	1244
HES5	1	2	0	4	14	12	11	0	3
ENSG00000272449	34	26	24	38	40	37	17	1	28
TNFRSF14-AS1	0	1	2	0	0	5	0	2	0
ENSG00000307979	1	0	2	0	4	1	3	0	6
TNFRSF14	0	2	17	3	19	8	39	1	56
ENSG00000225931	0	0	0	0	0	0	0	0	0
ENSG00000307958	1	0	0	0	1	1	0	0	2
ENSG00000228037	0	0	0	0	0	0	2	1	0
ENSG00000289610	0	0	0	0	0	0	0	0	0
PRXL2B	1765	1642	1914	3531	1556	2460	3283	1863	3024
MMEL1	9	11	42	7	28	35	47	10	54
MMEL1-AS1	0	3	10	10	1	2	8	4	7
TTC34	11	6	34	32	14	70	57	26	72
ENSG00000285945	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	0	0	2	1	0
ENSG00000231630	0	0	0	0	0	0	0	0	0
ENSG00000302855	0	0	0	0	0	0	0	0	0
ENSG00000295089	0	0	0	0	0	0	0	0	0
ENSG00000300015	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	1	0	0	0
ACTRT2	1	0	4	1	1	3	5	4	2
PRDM16-DT	2	0	12	36	4	21	4	1	5
PRDM16	50	36	105	182	40	158	92	57	111
MIR4251	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0
ENSG00000306427	0	0	0	0	0	0	0	0	0
ENSG00000279839	0	0	2	0	0	0	0	0	0
ENSG00000306439	0	0	1	0	0	0	0	0	0
ENSG00000272235	0	0	4	0	2	0	0	0	1
ENSG00000287828	0	1	2	0	0	0	2	0	1
ENSG00000286518	0	0	0	0	0	0	0	0	0
ENSG00000295754	0	0	0	0	0	0	0	0	0
ENSG00000297626	0	1	0	1	1	1	0	1	1
ARHGEF16	637	564	909	1258	308	834	426	264	1007
ENSG00000272088	0	0	0	1	0	0	0	0	0
MEGF6	801	604	1573	661	767	1615	891	313	1860
MIR551A	1	0	0	0	0	1	0	0	0
ENSG00000309127	0	0	0	0	0	0	0	0	0
ENSG00000238260	2	0	10	3	2	5	4	6	6
TPRG1L	1254	1161	1022	2392	660	1336	1226	1054	1482
WRAP73	640	520	601	1136	469	982	739	361	892
TP73	237	183	242	301	54	134	86	82	67
TP73-AS3	0	0	0	0	0	0	1	0	0
TP73-AS2	0	0	0	0	1	0	0	0	0
GFOD3P	1723	1485	1913	2157	1394	2545	2620	1091	2687
ENSG00000276189	0	0	0	0	0	0	0	0	0
CCDC27	4	1	10	6	4	13	11	1	8
ENSG00000296834	0	0	0	0	0	0	0	0	0
SMIM1	27	17	46	46	50	74	92	7	67
LRRC47	2963	2728	2600	7299	3055	5832	6511	3934	5023
RN7SL574P	1	0	1	0	4	0	3	2	0
ENSG00000272153	0	0	2	3	4	9	13	1	5
CEP104	877	753	869	1689	495	1458	1296	1089	1297
DFFB	355	344	209	619	154	375	244	256	318
C1orf174	737	695	496	1312	722	991	1982	1170	1064
LINC01134	10	5	17	21	13	15	26	10	26
LINC01346	1	0	0	0	3	1	0	3	0
LINC01345	0	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	1	0	0	0
ENSG00000284703	2	1	0	2	0	0	1	0	0
ENSG00000296871	0	1	0	0	0	0	0	0	0
ENSG00000308587	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0
ENSG00000301255	0	0	0	0	0	0	0	0	0
ENSG00000299169	0	0	0	0	0	0	0	0	1
ENSG00000302287	0	1	0	0	0	0	0	0	1
LINC01777	0	1	0	0	0	2	0	0	0
ENSG00000306535	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0
ENSG00000299517	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0
ENSG00000295490	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0
ENSG00000300565	0	0	0	0	0	1	0	0	0
ENSG00000303830	0	0	0	0	0	0	1	0	0
AJAP1	376	329	221	1273	755	895	1983	1184	1467
ENSG00000287586	2	1	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0
LINC02781	1	1	0	0	0	0	0	0	0
ENSG00000309102	0	0	0	0	0	0	0	0	0
ENSG00000309111	0	0	0	0	0	0	0	0	0
LINC02782	4	5	1	5	1	6	2	7	0
ENSG00000296716	2	0	0	1	0	0	0	0	0
ENSG00000302269	0	0	0	0	0	0	0	0	0
ENSG00000306645	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0
ENSG00000302445	1	3	1	1	0	0	0	0	0
ENSG00000302452	3	0	0	0	0	0	0	2	0
ENSG00000295735	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0
ENSG00000299325	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0
ENSG00000289893	8	2	3	4	2	1	7	3	2
ENSG00000264341	0	0	0	0	0	0	0	0	0
ENSG00000295108	0	0	0	0	0	0	0	0	0
ENSG00000295122	0	0	0	0	0	0	0	0	0
ENSG00000298180	0	3	0	0	0	1	0	0	0
MIR4689	0	0	0	0	0	1	0	0	0
NPHP4	502	503	753	834	781	1394	1364	483	1927
ENSG00000299539	1	0	0	5	1	0	2	3	1
KCNAB2	408	369	518	290	352	547	646	157	584
CHD5	40	50	340	119	24	137	34	41	73
ENSG00000285629	0	0	0	0	0	0	0	0	0
RPL22	5521	5204	5774	8962	4662	7917	10367	8329	6905
RNF207-AS1	4	4	14	12	7	17	11	4	13
RNF207	37	38	155	58	63	123	171	60	151
ICMT	6850	6496	7101	13750	5911	12003	13985	8958	14242
ICMT-DT	132	135	286	329	91	221	183	134	140
HES3	458	378	847	2041	776	632	690	232	523
GPR153	707	591	1039	1764	1952	2025	3926	1153	2383
ACOT7	4116	3838	3212	5220	2866	5452	6146	3011	4634
ENSG00000271746	0	3	4	4	4	3	13	8	5
HES2	18	15	32	170	20	64	18	59	8
ESPN	761	603	554	730	487	654	599	217	216
MIR4252	0	0	0	0	0	0	0	0	0
ENSG00000231868	1	0	1	1	0	0	0	0	0
TNFRSF25	93	80	288	176	182	344	243	51	339
PLEKHG5	617	527	1157	822	518	1457	1034	336	1173
ENSG00000297749	1	1	0	0	1	4	6	5	1
ENSG00000299237	0	1	0	1	2	0	0	0	0
ENSG00000299253	1	0	1	0	0	1	0	0	0
NOL9	633	561	805	1241	465	1334	1223	1055	1511
RNU6-731P	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0	0	0	0
TAS1R1	2	0	3	4	2	3	0	3	0
ZBTB48	318	286	649	495	303	710	551	186	917
KLHL21	696	686	773	1289	485	969	624	327	1381
ENSG00000295286	0	0	0	0	0	0	0	0	0
ENSG00000304810	2	0	0	0	0	0	1	0	0
PHF13	1997	1832	2550	3205	1522	3014	2648	1269	3339
THAP3	277	245	411	398	321	621	539	139	415
DNAJC11	3371	3151	3204	7474	2621	5796	5895	4005	7474
LINC01672	0	0	0	0	0	0	1	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0
CAMTA1-DT	23	27	19	23	15	16	41	35	17
CAMTA1	1412	1183	1211	2063	1600	1781	5894	3544	1944
ENSG00000227950	0	0	0	0	0	0	0	0	0
CAMTA1-AS3	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0
ENSG00000310450	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	0	0	0	1	1	2	2	6	3
CAMTA1-AS2	0	0	0	0	0	0	1	0	0
ENSG00000294314	0	0	0	0	0	0	1	4	0
CAMTA1-AS1	0	0	0	0	0	0	0	1	0
ENSG00000298973	0	0	0	0	0	0	0	0	0
ENSG00000306883	0	0	0	0	0	0	0	0	0
ENSG00000302704	0	0	0	0	0	0	0	0	0
ENSG00000270171	1	5	13	2	4	21	13	3	7
ENSG00000270035	1	1	9	4	3	11	6	0	9
ENSG00000269978	5	5	44	15	19	44	26	4	21
ENSG00000300603	0	0	0	0	0	2	2	0	0
VAMP3	1976	1785	1486	2258	1961	2448	5817	2674	2830
ENSG00000269925	2	2	3	2	0	10	2	1	8
PER3	364	330	487	291	380	456	1178	445	770
ENSG00000236266	0	0	0	0	0	0	0	0	0
UTS2	0	0	0	0	0	1	1	0	0
ENSG00000302605	0	0	1	0	0	0	0	0	0
TNFRSF9	0	0	0	0	1	5	0	0	2
ENSG00000270330	0	0	0	0	0	0	0	0	0
PARK7	4891	4816	5833	7850	4372	9991	8075	5228	9705
ENSG00000299004	1	0	1	0	0	2	3	6	1
Y_RNA	85	77	166	134	82	281	249	166	195
ENSG00000284747	10	3	6	9	5	12	16	13	6
ENSG00000284716	0	0	0	0	0	1	2	0	0
ERRFI1	2669	2580	1857	5962	1309	5072	3730	4698	2285
ERRFI1-DT	1	1	1	0	1	6	2	3	2
RPL7AP18	0	0	0	0	0	0	0	0	0
ENSG00000301325	0	0	0	0	0	0	0	0	0
LINC01714	6	0	0	3	0	5	0	0	1
ENSG00000229305	0	0	0	0	0	0	0	0	0
ENSG00000301344	0	0	0	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0
ENSG00000298156	0	1	1	0	0	1	0	0	2
ENSG00000301025	0	0	0	0	0	0	0	1	1
ENSG00000301006	2	4	1	3	0	3	2	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0
SLC45A1	142	98	96	134	103	179	144	48	147
RERE	2832	2045	3531	4591	2057	4928	5960	3535	5547
RERE-AS1	0	0	1	2	1	2	1	0	0
ENSG00000221083	0	0	0	0	0	0	0	1	0
ENSG00000270282	0	0	0	0	0	0	0	0	0
RPL7P11	0	1	0	3	0	0	0	0	0
RPL7P7	0	0	2	0	0	2	0	0	0
ENSG00000303676	0	0	0	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0	0	0	0
ENSG00000228423	0	0	1	0	1	2	0	0	2
RPL23AP19	0	0	0	0	0	0	0	0	0
ENO1	102006	95784	74196	111867	109529	135910	151511	48547	117518
MIR6728	0	0	0	0	0	0	0	0	1
ENO1-AS1	5	21	6	132	29	18	58	21	10
RNU6-304P	0	0	0	0	0	0	0	0	0
HMGN2P17	1	1	0	48	6	0	97	26	0
ENSG00000310107	0	0	0	0	0	1	0	0	1
ENSG00000232208	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0
ENSG00000310124	0	0	0	0	0	0	0	0	0
CA6	0	0	0	1	0	3	1	0	0
ENSG00000290109	0	0	0	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0	0	0	0
SLC2A7	1	2	4	1	2	4	3	0	1
SLC2A5	1	4	8	16	1	17	5	5	10
ENSG00000252404	0	0	0	0	0	0	0	0	0
GPR157	186	197	267	325	166	401	260	112	269
MIR34AHG	62	43	132	138	144	397	337	127	337
MIR34A	0	0	0	0	0	0	0	0	0
ENSG00000289914	0	0	3	0	0	2	0	0	0
ENSG00000302015	0	0	0	0	0	0	0	0	0
LNCTAM34A	45	46	79	85	80	220	207	78	145
ENSG00000301983	0	0	1	3	2	3	5	0	2
ENSG00000301968	1	0	0	0	0	4	3	5	2
H6PD	1081	938	1379	1414	1283	2446	2504	738	1944
ENSG00000302217	0	0	0	0	0	0	0	0	0
SPSB1	205	199	333	491	160	376	306	248	186
ENSG00000294252	0	0	0	0	0	0	0	0	0
ENSG00000296073	0	0	3	0	0	0	0	0	0
ENSG00000296056	0	0	0	0	0	0	0	0	0
ENSG00000307568	0	0	0	0	0	0	0	0	0
ENSG00000284652	2	5	0	0	0	0	2	3	1
LINC02606	6	1	3	8	6	11	14	5	4
RNA5SP40	0	0	0	0	0	0	0	0	0
ENSG00000301013	0	0	0	0	0	0	0	0	0
ENSG00000301030	0	0	0	0	0	0	0	0	0
ENSG00000306844	0	0	0	0	0	0	0	0	0
ENSG00000296249	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0
SLC25A33	480	420	590	832	370	761	975	788	712
ENSG00000231181	8	3	5	4	2	5	2	0	10
TMEM201	1201	1022	884	2034	1048	1507	1875	662	1786
ENSG00000307011	0	0	0	0	0	0	0	0	0
PIK3CD	1081	908	1925	1154	554	1566	1059	444	1316
PIK3CD-AS1	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0
ENSG00000301080	0	0	1	0	0	0	0	1	0
PIK3CD-AS2	166	118	239	177	161	195	559	198	179
CLSTN1	5893	5374	7863	10578	5996	10802	10791	4057	10522
MZT1P1	0	0	0	0	1	0	0	0	0
ENSG00000280113	0	0	0	0	0	1	3	0	0
CTNNBIP1	2169	1992	3076	2964	2429	3644	3747	1367	3472
ENSG00000223989	0	0	0	1	0	0	1	0	1
ENSG00000285701	0	0	0	0	0	0	0	0	0
ENSG00000228150	4	5	6	12	6	4	14	18	6
LZIC	512	498	995	987	498	1203	1333	964	1141
NMNAT1	152	137	172	217	120	337	225	108	198
RN7SKP269	3	7	0	7	3	8	8	8	8
TMEM274P	0	0	0	0	0	0	0	0	0
MIR5697	1	0	0	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0
RBP7	48	41	96	72	20	74	62	55	31
UBE4B	5662	4974	4678	9229	4609	8259	13301	8021	11093
RPL21P21	0	0	0	0	0	0	0	0	0
PGAM1P11	1	0	1	0	0	0	0	0	2
RNU6-828P	0	0	2	0	1	5	2	0	1
KIF1B	4901	3935	7050	6523	3775	10232	10257	5800	11357
ENSG00000264881	0	1	0	0	0	0	0	0	2
RNU6-37P	0	0	1	0	0	1	1	1	1
RN7SL731P	0	0	0	0	0	0	0	0	0
ENSG00000284735	0	0	0	0	0	0	1	0	1
ENSG00000284642	4	1	6	5	6	18	20	10	13
PGD	17553	16905	13158	28237	16522	23972	38963	19590	27657
ENSG00000271989	4	3	6	1	3	4	7	4	3
CENPS-CORT	9	6	1	1	1	1	5	0	5
CENPS	62	50	78	85	40	95	176	184	120
CORT	0	5	2	1	2	1	3	0	0
DFFA	3779	3666	4878	5853	2020	5464	5227	3989	4070
ENSG00000203469	0	1	0	0	0	0	0	0	1
PEX14	868	796	827	1611	756	1375	1566	752	1321
ENSG00000307253	0	0	0	0	0	0	0	0	0
ENSG00000287727	0	0	0	0	0	0	0	0	0
RN7SL614P	0	0	0	0	1	0	0	0	0
CASZ1	404	329	525	415	209	530	403	161	203
ENSG00000272078	1	1	6	2	1	0	0	1	3
ENSG00000298629	0	2	1	0	0	0	4	2	2
ENSG00000308013	1	0	0	0	0	0	0	0	0
ENSG00000307983	0	0	0	0	0	0	0	0	0
ENSG00000307999	0	0	0	0	0	0	0	0	0
HSPE1P24	0	0	0	0	0	0	0	0	0
ENSG00000308257	1	0	1	1	0	0	0	0	0
C1orf127	10	4	57	3	3	6	5	0	9
CFL1P6	1	0	1	1	0	0	0	0	0
TARDBP	9686	9425	7184	13763	7198	11489	22197	15644	15488
MASP2	2	3	9	14	2	8	6	2	8
SRM	5345	4262	3094	7707	2709	4397	7044	4758	4883
EXOSC10-AS1	24	24	24	75	25	26	61	66	27
EXOSC10	2998	2792	3657	5070	1982	4429	6735	5990	6130
MTOR	5266	4318	6342	6760	3385	8579	8465	4083	11885
MTOR-AS1	0	0	0	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0	0	0	0
ENSG00000309051	1	0	0	3	0	2	0	2	0
UBIAD1	1211	1038	1185	1871	1017	1578	2275	1182	2085
UBE2V2P3	0	0	0	6	0	0	4	4	0
ENSG00000284646	2	1	3	1	0	1	0	0	3
ENSG00000302153	1	3	9	12	4	10	10	7	10
ENSG00000302176	0	0	0	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0	0	0	0
ENSG00000299102	0	0	0	0	1	0	0	0	0
DISP3	353	254	353	255	532	606	761	107	917
ENSG00000285833	0	0	0	0	0	0	0	0	0
ENSG00000303300	0	0	0	0	0	0	0	0	0
LINC01647	4	0	1	6	2	0	4	0	1
ENSG00000284708	0	0	0	0	0	0	0	0	0
FBXO2	845	695	2019	2792	480	2015	722	837	935
FBXO44	497	450	910	1182	355	1192	703	445	873
MAD2L2	5297	4791	7219	12713	3883	9498	8193	4710	7188
