""	WT_1	WT_2	WT_3	Y2_1	Y2_2	Y2_3	YT_1	YT_2	YT_3
ENSG00000301639	15	15	40	15	21	31	32	11	68
MRPL20-DT	54	48	120	74	75	124	127	44	132
ANKRD65	7	6	42	9	10	17	21	17	21
ANKRD65-AS1	2	3	3	1	3	1	0	0	4
TMEM88B	98	76	202	274	217	109	238	88	207
LINC01770	85	81	144	82	51	137	173	112	247
VWA1	768	717	785	1737	630	920	1480	990	1745
ATAD3C	8	13	56	13	16	41	47	15	70
ATAD3B	752	680	923	1387	186	1542	341	323	1450
ENSG00000290916	1	2	2	1	0	4	0	0	4
ENSG00000284740	0	0	0	0	0	0	0	0	0
ATAD3A	1112	1002	1058	2070	336	1409	656	575	1493
TMEM240	58	35	106	68	18	95	99	70	98
ENSG00000299413	0	0	0	0	0	0	0	0	0
SSU72	4467	3762	4676	8606	6700	6369	9274	3024	7248
SSU72-AS1	30	21	34	42	13	23	10	6	12
ENSG00000274481	0	0	0	0	0	0	0	0	0
FNDC10	1212	1017	1033	2366	888	1474	2772	1432	1312
ENSG00000286989	22	24	30	48	14	60	41	27	43
ENSG00000272106	140	135	132	157	271	248	467	163	167
MIB2	605	508	645	1006	230	935	729	565	1036
MMP23B	11	5	8	12	0	4	16	14	7
CDK11B	1376	1271	1533	2319	1319	2614	2588	986	2674
ENSG00000272004	6	4	5	13	5	5	16	6	15
SLC35E2B	2286	2079	2630	4619	2538	4754	4960	2408	5093
ENSG00000293187	1	0	0	0	0	0	0	0	0
ENSG00000269737	0	0	0	0	0	0	0	1	0
ENSG00000310190	2	3	3	1	2	3	3	2	6
ENSG00000310238	89	85	109	153	11	161	76	73	151
MMP23A	0	0	0	0	0	0	0	0	0
CDK11A	23	21	30	35	3	70	14	16	76
ENSG00000268575	66	60	52	75	68	144	174	66	115
ENSG00000293188	0	2	2	2	0	2	3	1	4
ENSG00000290854	61	67	53	74	44	138	110	65	120
SLC35E2A	0	0	0	0	0	0	0	0	0
ENSG00000227775	0	0	0	0	0	0	0	0	0
NADK	2543	2104	2505	4716	1826	4064	3418	1903	3546
ENSG00000302550	0	1	9	3	0	10	9	2	31
GNB1	17417	16400	15008	27364	22757	24938	36829	13941	25389
GNB1-DT	7	3	5	23	20	10	20	3	5
ENSG00000303984	0	0	0	0	0	0	0	0	0
ENSG00000294910	0	0	1	0	0	4	1	0	0
ENSG00000306476	1	4	1	1	0	2	4	1	2
CALML6	8	9	19	7	2	34	12	7	18
TMEM52	380	332	236	461	295	322	665	308	309
CFAP74	3	9	18	2	3	24	10	11	26
ENSG00000233542	23	19	33	4	13	72	106	51	74
GABRD	82	57	61	52	33	143	187	123	182
ENSG00000304958	5	3	23	4	0	9	8	5	7
PRKCZ-DT	2	1	2	4	4	1	2	4	0
PRKCZ	1540	1317	1835	2103	1521	2084	2457	939	2029
ENSG00000308181	0	0	0	0	0	0	0	0	0
ENSG00000271806	0	0	0	0	0	0	0	0	0
PRKCZ-AS1	78	62	89	79	51	74	162	63	155
FAAP20	1429	1223	1254	2214	610	1544	1904	1427	1479
ENSG00000304038	5	1	1	1	2	9	0	2	8
ENSG00000234396	0	1	0	0	0	1	0	1	1
ENSG00000304143	0	1	2	0	1	0	0	0	0
SKI	3323	2522	2506	5222	3355	4529	6417	2685	4732
ENSG00000295493	0	0	1	0	0	0	0	0	0
ENSG00000287356	31	32	163	47	12	55	58	38	64
MORN1	129	108	210	244	91	307	141	118	260
ENSG00000272161	0	2	2	1	0	2	4	0	1
ENSG00000292993	21	35	48	83	44	67	46	14	82
ENSG00000269896	0	0	0	0	0	0	0	0	0
ENSG00000272420	5	1	2	4	10	4	13	2	7
ENSG00000295371	0	0	0	0	0	0	0	0	0
RER1	1901	1971	2085	3733	1838	2872	3069	1613	3136
PEX10	1010	971	1300	1829	1083	1558	2158	951	1927
PLCH2	17	8	36	18	5	49	70	59	58
ENSG00000224387	0	0	0	2	1	1	0	2	3
ENSG00000229393	0	0	1	2	3	2	7	1	1
PANK4	672	619	645	822	580	1125	1305	699	1244
HES5	1	2	0	4	0	12	11	14	3
ENSG00000272449	34	26	24	38	1	37	17	40	28
TNFRSF14-AS1	0	1	2	0	2	5	0	0	0
ENSG00000307979	1	0	2	0	0	1	3	4	6
TNFRSF14	0	2	17	3	1	8	39	19	56
ENSG00000225931	0	0	0	0	0	0	0	0	0
ENSG00000307958	1	0	0	0	0	1	0	1	2
ENSG00000228037	0	0	0	0	1	0	2	0	0
ENSG00000289610	0	0	0	0	0	0	0	0	0
PRXL2B	1765	1642	1914	3531	1863	2460	3283	1556	3024
MMEL1	9	11	42	7	10	35	47	28	54
MMEL1-AS1	0	3	10	10	4	2	8	1	7
TTC34	11	6	34	32	26	70	57	14	72
ENSG00000285945	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	1	0	2	0	0
ENSG00000231630	0	0	0	0	0	0	0	0	0
ENSG00000302855	0	0	0	0	0	0	0	0	0
ENSG00000295089	0	0	0	0	0	0	0	0	0
ENSG00000300015	0	0	0	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	1	0	0	0
ACTRT2	1	0	4	1	4	3	5	1	2
PRDM16-DT	2	0	12	36	1	21	4	4	5
PRDM16	50	36	105	182	57	158	92	40	111
MIR4251	0	0	0	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0	0	0	0
ENSG00000306427	0	0	0	0	0	0	0	0	0
ENSG00000279839	0	0	2	0	0	0	0	0	0
ENSG00000306439	0	0	1	0	0	0	0	0	0
ENSG00000272235	0	0	4	0	0	0	0	2	1
ENSG00000287828	0	1	2	0	0	0	2	0	1
ENSG00000286518	0	0	0	0	0	0	0	0	0
ENSG00000295754	0	0	0	0	0	0	0	0	0
ENSG00000297626	0	1	0	1	1	1	0	1	1
ARHGEF16	637	564	909	1258	264	834	426	308	1007
ENSG00000272088	0	0	0	1	0	0	0	0	0
MEGF6	801	604	1573	661	313	1615	891	767	1860
MIR551A	1	0	0	0	0	1	0	0	0
ENSG00000309127	0	0	0	0	0	0	0	0	0
ENSG00000238260	2	0	10	3	6	5	4	2	6
TPRG1L	1254	1161	1022	2392	1054	1336	1226	660	1482
WRAP73	640	520	601	1136	361	982	739	469	892
TP73	237	183	242	301	82	134	86	54	67
TP73-AS3	0	0	0	0	0	0	1	0	0
TP73-AS2	0	0	0	0	0	0	0	1	0
GFOD3P	1723	1485	1913	2157	1091	2545	2620	1394	2687
ENSG00000276189	0	0	0	0	0	0	0	0	0
CCDC27	4	1	10	6	1	13	11	4	8
ENSG00000296834	0	0	0	0	0	0	0	0	0
SMIM1	27	17	46	46	7	74	92	50	67
LRRC47	2963	2728	2600	7299	3934	5832	6511	3055	5023
RN7SL574P	1	0	1	0	2	0	3	4	0
ENSG00000272153	0	0	2	3	1	9	13	4	5
CEP104	877	753	869	1689	1089	1458	1296	495	1297
DFFB	355	344	209	619	256	375	244	154	318
C1orf174	737	695	496	1312	1170	991	1982	722	1064
LINC01134	10	5	17	21	10	15	26	13	26
LINC01346	1	0	0	0	3	1	0	3	0
LINC01345	0	0	0	0	0	0	0	0	0
LINC02780	0	0	0	0	0	1	0	0	0
ENSG00000284703	2	1	0	2	0	0	1	0	0
ENSG00000296871	0	1	0	0	0	0	0	0	0
ENSG00000308587	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0
ENSG00000301255	0	0	0	0	0	0	0	0	0
ENSG00000299169	0	0	0	0	0	0	0	0	1
ENSG00000302287	0	1	0	0	0	0	0	0	1
LINC01777	0	1	0	0	0	2	0	0	0
ENSG00000306535	0	0	0	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0	0	0	0
ENSG00000299517	0	0	0	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0	0	0	0
ENSG00000295490	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0
ENSG00000300565	0	0	0	0	0	1	0	0	0
ENSG00000303830	0	0	0	0	0	0	1	0	0
AJAP1	376	329	221	1273	1184	895	1983	755	1467
ENSG00000287586	2	1	0	0	0	0	0	0	0
ENSG00000284739	0	0	0	0	0	0	0	0	0
LINC02781	1	1	0	0	0	0	0	0	0
ENSG00000309102	0	0	0	0	0	0	0	0	0
ENSG00000309111	0	0	0	0	0	0	0	0	0
LINC02782	4	5	1	5	7	6	2	1	0
ENSG00000296716	2	0	0	1	0	0	0	0	0
ENSG00000302269	0	0	0	0	0	0	0	0	0
ENSG00000306645	0	0	0	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0
ENSG00000302445	1	3	1	1	0	0	0	0	0
ENSG00000302452	3	0	0	0	2	0	0	0	0
ENSG00000295735	0	0	0	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0	0	0	0
ENSG00000299325	0	0	0	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0	0	0	0
ENSG00000289893	8	2	3	4	3	1	7	2	2
ENSG00000264341	0	0	0	0	0	0	0	0	0
ENSG00000295108	0	0	0	0	0	0	0	0	0
ENSG00000295122	0	0	0	0	0	0	0	0	0
ENSG00000298180	0	3	0	0	0	1	0	0	0
MIR4689	0	0	0	0	0	1	0	0	0
NPHP4	502	503	753	834	483	1394	1364	781	1927
ENSG00000299539	1	0	0	5	3	0	2	1	1
KCNAB2	408	369	518	290	157	547	646	352	584
CHD5	40	50	340	119	41	137	34	24	73
ENSG00000285629	0	0	0	0	0	0	0	0	0
RPL22	5521	5204	5774	8962	8329	7917	10367	4662	6905
RNF207-AS1	4	4	14	12	4	17	11	7	13
RNF207	37	38	155	58	60	123	171	63	151
ICMT	6850	6496	7101	13750	8958	12003	13985	5911	14242
ICMT-DT	132	135	286	329	134	221	183	91	140
HES3	458	378	847	2041	232	632	690	776	523
GPR153	707	591	1039	1764	1153	2025	3926	1952	2383
ACOT7	4116	3838	3212	5220	3011	5452	6146	2866	4634
ENSG00000271746	0	3	4	4	8	3	13	4	5
HES2	18	15	32	170	59	64	18	20	8
ESPN	761	603	554	730	217	654	599	487	216
MIR4252	0	0	0	0	0	0	0	0	0
ENSG00000231868	1	0	1	1	0	0	0	0	0
TNFRSF25	93	80	288	176	51	344	243	182	339
PLEKHG5	617	527	1157	822	336	1457	1034	518	1173
ENSG00000297749	1	1	0	0	5	4	6	1	1
ENSG00000299237	0	1	0	1	0	0	0	2	0
ENSG00000299253	1	0	1	0	0	1	0	0	0
NOL9	633	561	805	1241	1055	1334	1223	465	1511
RNU6-731P	0	0	0	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0	0	0	0
TAS1R1	2	0	3	4	3	3	0	2	0
ZBTB48	318	286	649	495	186	710	551	303	917
KLHL21	696	686	773	1289	327	969	624	485	1381
ENSG00000295286	0	0	0	0	0	0	0	0	0
ENSG00000304810	2	0	0	0	0	0	1	0	0
PHF13	1997	1832	2550	3205	1269	3014	2648	1522	3339
THAP3	277	245	411	398	139	621	539	321	415
DNAJC11	3371	3151	3204	7474	4005	5796	5895	2621	7474
LINC01672	0	0	0	0	0	0	1	0	0
ENSG00000284744	0	0	0	0	0	0	0	0	0
CAMTA1-DT	23	27	19	23	35	16	41	15	17
CAMTA1	1412	1183	1211	2063	3544	1781	5894	1600	1944
ENSG00000227950	0	0	0	0	0	0	0	0	0
CAMTA1-AS3	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0
ENSG00000310450	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	0	0	0	1	6	2	2	1	3
CAMTA1-AS2	0	0	0	0	0	0	1	0	0
ENSG00000294314	0	0	0	0	4	0	1	0	0
CAMTA1-AS1	0	0	0	0	1	0	0	0	0
ENSG00000298973	0	0	0	0	0	0	0	0	0
ENSG00000306883	0	0	0	0	0	0	0	0	0
ENSG00000302704	0	0	0	0	0	0	0	0	0
ENSG00000270171	1	5	13	2	3	21	13	4	7
ENSG00000270035	1	1	9	4	0	11	6	3	9
ENSG00000269978	5	5	44	15	4	44	26	19	21
ENSG00000300603	0	0	0	0	0	2	2	0	0
VAMP3	1976	1785	1486	2258	2674	2448	5817	1961	2830
ENSG00000269925	2	2	3	2	1	10	2	0	8
PER3	364	330	487	291	445	456	1178	380	770
ENSG00000236266	0	0	0	0	0	0	0	0	0
UTS2	0	0	0	0	0	1	1	0	0
ENSG00000302605	0	0	1	0	0	0	0	0	0
TNFRSF9	0	0	0	0	0	5	0	1	2
ENSG00000270330	0	0	0	0	0	0	0	0	0
PARK7	4891	4816	5833	7850	5228	9991	8075	4372	9705
ENSG00000299004	1	0	1	0	6	2	3	0	1
Y_RNA	85	77	166	134	166	281	249	82	195
ENSG00000284747	10	3	6	9	13	12	16	5	6
ENSG00000284716	0	0	0	0	0	1	2	0	0
ERRFI1	2669	2580	1857	5962	4698	5072	3730	1309	2285
ERRFI1-DT	1	1	1	0	3	6	2	1	2
RPL7AP18	0	0	0	0	0	0	0	0	0
ENSG00000301325	0	0	0	0	0	0	0	0	0
LINC01714	6	0	0	3	0	5	0	0	1
ENSG00000229305	0	0	0	0	0	0	0	0	0
ENSG00000301344	0	0	0	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0	0	0	0
ENSG00000298156	0	1	1	0	0	1	0	0	2
ENSG00000301025	0	0	0	0	1	0	0	0	1
ENSG00000301006	2	4	1	3	0	3	2	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0
SLC45A1	142	98	96	134	48	179	144	103	147
RERE	2832	2045	3531	4591	3535	4928	5960	2057	5547
RERE-AS1	0	0	1	2	0	2	1	1	0
ENSG00000221083	0	0	0	0	1	0	0	0	0
ENSG00000270282	0	0	0	0	0	0	0	0	0
RPL7P11	0	1	0	3	0	0	0	0	0
RPL7P7	0	0	2	0	0	2	0	0	0
ENSG00000303676	0	0	0	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0	0	0	0
ENSG00000228423	0	0	1	0	0	2	0	1	2
RPL23AP19	0	0	0	0	0	0	0	0	0
ENO1	102006	95784	74196	111867	48547	135910	151511	109529	117518
MIR6728	0	0	0	0	0	0	0	0	1
ENO1-AS1	5	21	6	132	21	18	58	29	10
RNU6-304P	0	0	0	0	0	0	0	0	0
HMGN2P17	1	1	0	48	26	0	97	6	0
ENSG00000310107	0	0	0	0	0	1	0	0	1
ENSG00000232208	0	0	0	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0	0	0	0
ENSG00000310124	0	0	0	0	0	0	0	0	0
CA6	0	0	0	1	0	3	1	0	0
ENSG00000290109	0	0	0	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0	0	0	0
SLC2A7	1	2	4	1	0	4	3	2	1
SLC2A5	1	4	8	16	5	17	5	1	10
ENSG00000252404	0	0	0	0	0	0	0	0	0
GPR157	186	197	267	325	112	401	260	166	269
MIR34AHG	62	43	132	138	127	397	337	144	337
MIR34A	0	0	0	0	0	0	0	0	0
ENSG00000289914	0	0	3	0	0	2	0	0	0
ENSG00000302015	0	0	0	0	0	0	0	0	0
LNCTAM34A	45	46	79	85	78	220	207	80	145
ENSG00000301983	0	0	1	3	0	3	5	2	2
ENSG00000301968	1	0	0	0	5	4	3	0	2
H6PD	1081	938	1379	1414	738	2446	2504	1283	1944
ENSG00000302217	0	0	0	0	0	0	0	0	0
SPSB1	205	199	333	491	248	376	306	160	186
ENSG00000294252	0	0	0	0	0	0	0	0	0
ENSG00000296073	0	0	3	0	0	0	0	0	0
ENSG00000296056	0	0	0	0	0	0	0	0	0
ENSG00000307568	0	0	0	0	0	0	0	0	0
ENSG00000284652	2	5	0	0	3	0	2	0	1
LINC02606	6	1	3	8	5	11	14	6	4
RNA5SP40	0	0	0	0	0	0	0	0	0
ENSG00000301013	0	0	0	0	0	0	0	0	0
ENSG00000301030	0	0	0	0	0	0	0	0	0
ENSG00000306844	0	0	0	0	0	0	0	0	0
ENSG00000296249	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0	0	0	0
SLC25A33	480	420	590	832	788	761	975	370	712
ENSG00000231181	8	3	5	4	0	5	2	2	10
TMEM201	1201	1022	884	2034	662	1507	1875	1048	1786
ENSG00000307011	0	0	0	0	0	0	0	0	0
PIK3CD	1081	908	1925	1154	444	1566	1059	554	1316
PIK3CD-AS1	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0
ENSG00000301080	0	0	1	0	1	0	0	0	0
PIK3CD-AS2	166	118	239	177	198	195	559	161	179
CLSTN1	5893	5374	7863	10578	4057	10802	10791	5996	10522
MZT1P1	0	0	0	0	0	0	0	1	0
ENSG00000280113	0	0	0	0	0	1	3	0	0
CTNNBIP1	2169	1992	3076	2964	1367	3644	3747	2429	3472
ENSG00000223989	0	0	0	1	0	0	1	0	1
ENSG00000285701	0	0	0	0	0	0	0	0	0
ENSG00000228150	4	5	6	12	18	4	14	6	6
LZIC	512	498	995	987	964	1203	1333	498	1141
NMNAT1	152	137	172	217	108	337	225	120	198
RN7SKP269	3	7	0	7	8	8	8	3	8
TMEM274P	0	0	0	0	0	0	0	0	0
MIR5697	1	0	0	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0
RBP7	48	41	96	72	55	74	62	20	31
UBE4B	5662	4974	4678	9229	8021	8259	13301	4609	11093
RPL21P21	0	0	0	0	0	0	0	0	0
PGAM1P11	1	0	1	0	0	0	0	0	2
RNU6-828P	0	0	2	0	0	5	2	1	1
KIF1B	4901	3935	7050	6523	5800	10232	10257	3775	11357
ENSG00000264881	0	1	0	0	0	0	0	0	2
RNU6-37P	0	0	1	0	1	1	1	0	1
RN7SL731P	0	0	0	0	0	0	0	0	0
ENSG00000284735	0	0	0	0	0	0	1	0	1
ENSG00000284642	4	1	6	5	10	18	20	6	13
PGD	17553	16905	13158	28237	19590	23972	38963	16522	27657
ENSG00000271989	4	3	6	1	4	4	7	3	3
CENPS-CORT	9	6	1	1	0	1	5	1	5
CENPS	62	50	78	85	184	95	176	40	120
CORT	0	5	2	1	0	1	3	2	0
DFFA	3779	3666	4878	5853	3989	5464	5227	2020	4070
ENSG00000203469	0	1	0	0	0	0	0	0	1
PEX14	868	796	827	1611	752	1375	1566	756	1321
ENSG00000307253	0	0	0	0	0	0	0	0	0
ENSG00000287727	0	0	0	0	0	0	0	0	0
RN7SL614P	0	0	0	0	0	0	0	1	0
CASZ1	404	329	525	415	161	530	403	209	203
ENSG00000272078	1	1	6	2	1	0	0	1	3
ENSG00000298629	0	2	1	0	2	0	4	0	2
ENSG00000308013	1	0	0	0	0	0	0	0	0
ENSG00000307983	0	0	0	0	0	0	0	0	0
ENSG00000307999	0	0	0	0	0	0	0	0	0
HSPE1P24	0	0	0	0	0	0	0	0	0
ENSG00000308257	1	0	1	1	0	0	0	0	0
C1orf127	10	4	57	3	0	6	5	3	9
CFL1P6	1	0	1	1	0	0	0	0	0
TARDBP	9686	9425	7184	13763	15644	11489	22197	7198	15488
MASP2	2	3	9	14	2	8	6	2	8
SRM	5345	4262	3094	7707	4758	4397	7044	2709	4883
EXOSC10-AS1	24	24	24	75	66	26	61	25	27
EXOSC10	2998	2792	3657	5070	5990	4429	6735	1982	6130
MTOR	5266	4318	6342	6760	4083	8579	8465	3385	11885
MTOR-AS1	0	0	0	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0	0	0	0
ENSG00000309051	1	0	0	3	2	2	0	0	0
UBIAD1	1211	1038	1185	1871	1182	1578	2275	1017	2085
UBE2V2P3	0	0	0	6	4	0	4	0	0
ENSG00000284646	2	1	3	1	0	1	0	0	3
ENSG00000302153	1	3	9	12	7	10	10	4	10
ENSG00000302176	0	0	0	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0	0	0	0
ENSG00000299102	0	0	0	0	0	0	0	1	0
DISP3	353	254	353	255	107	606	761	532	917
ENSG00000285833	0	0	0	0	0	0	0	0	0
ENSG00000303300	0	0	0	0	0	0	0	0	0
LINC01647	4	0	1	6	0	0	4	2	1
ENSG00000284708	0	0	0	0	0	0	0	0	0
FBXO2	845	695	2019	2792	837	2015	722	480	935
FBXO44	497	450	910	1182	445	1192	703	355	873
MAD2L2	5297	4791	7219	12713	4710	9498	8193	3883	7188
FBXO6	23	16	38	34	10	32	15	12	15
