""	WT_P62	Y2_P37_28	YT2_P37_7_17
LINC01786	33	48	31
SCNN1D	165	173	123
ACAP3	795	1209	1812
MIR6726	0	0	0
PUSL1	679	776	981
INTS11	2905	5043	5033
MIR6727	0	0	0
ENSG00000240731	17	70	53
CPTP	350	530	688
TAS1R3	2	3	7
DVL1	2274	2392	2545
MIR6808	0	0	0
ENSG00000304860	6	3	14
MXRA8	509	201	539
AURKAIP1	2336	3377	3219
NDUFB4P8	0	3	0
CCNL2	3255	4106	5334
MRPL20-AS1	695	1227	1283
MRPL20	1525	2371	3206
RN7SL657P	0	0	0
ENSG00000301639	40	31	68
MRPL20-DT	120	124	132
ANKRD65	42	17	21
ANKRD65-AS1	3	1	4
TMEM88B	202	109	207
LINC01770	144	137	247
VWA1	785	920	1745
ATAD3C	56	41	70
ATAD3B	923	1542	1450
ENSG00000290916	2	4	4
ENSG00000284740	0	0	0
ATAD3A	1058	1409	1493
TMEM240	106	95	98
ENSG00000299413	0	0	0
SSU72	4676	6369	7248
SSU72-AS1	34	23	12
ENSG00000274481	0	0	0
FNDC10	1033	1474	1312
ENSG00000286989	30	60	43
ENSG00000272106	132	248	167
MIB2	645	935	1036
MMP23B	8	4	7
CDK11B	1533	2614	2674
ENSG00000272004	5	5	15
SLC35E2B	2630	4754	5093
ENSG00000293187	0	0	0
ENSG00000269737	0	0	0
ENSG00000310190	3	3	6
ENSG00000310238	109	161	151
MMP23A	0	0	0
CDK11A	30	70	76
ENSG00000268575	52	144	115
ENSG00000293188	2	2	4
ENSG00000290854	53	138	120
SLC35E2A	0	0	0
ENSG00000227775	0	0	0
NADK	2505	4064	3546
ENSG00000302550	9	10	31
GNB1	15008	24938	25389
GNB1-DT	5	10	5
ENSG00000303984	0	0	0
ENSG00000294910	1	4	0
ENSG00000306476	1	2	2
CALML6	19	34	18
TMEM52	236	322	309
CFAP74	18	24	26
ENSG00000233542	33	72	74
GABRD	61	143	182
ENSG00000304958	23	9	7
PRKCZ-DT	2	1	0
PRKCZ	1835	2084	2029
ENSG00000308181	0	0	0
ENSG00000271806	0	0	0
PRKCZ-AS1	89	74	155
FAAP20	1254	1544	1479
ENSG00000304038	1	9	8
ENSG00000234396	0	1	1
ENSG00000304143	2	0	0
SKI	2506	4529	4732
ENSG00000295493	1	0	0
ENSG00000287356	163	55	64
MORN1	210	307	260
ENSG00000272161	2	2	1
ENSG00000292993	48	67	82
ENSG00000269896	0	0	0
ENSG00000272420	2	4	7
ENSG00000295371	0	0	0
RER1	2085	2872	3136
PEX10	1300	1558	1927
PLCH2	36	49	58
ENSG00000224387	0	1	3
ENSG00000229393	1	2	1
PANK4	645	1125	1244
HES5	0	12	3
ENSG00000272449	24	37	28
TNFRSF14-AS1	2	5	0
ENSG00000307979	2	1	6
TNFRSF14	17	8	56
ENSG00000225931	0	0	0
ENSG00000307958	0	1	2
ENSG00000228037	0	0	0
ENSG00000289610	0	0	0
PRXL2B	1914	2460	3024
MMEL1	42	35	54
MMEL1-AS1	10	2	7
TTC34	34	70	72
ENSG00000285945	0	0	0
ENSG00000283259	0	0	0
ENSG00000233234	0	0	0
ENSG00000287396	0	0	0
ENSG00000231630	0	0	0
ENSG00000302855	0	0	0
ENSG00000295089	0	0	0
ENSG00000300015	0	0	0
ENSG00000284745	0	1	0
ACTRT2	4	3	2
PRDM16-DT	12	21	5
PRDM16	105	158	111
MIR4251	0	0	0
ENSG00000226286	0	0	0
ENSG00000306427	0	0	0
ENSG00000279839	2	0	0
ENSG00000306439	1	0	0
ENSG00000272235	4	0	1
ENSG00000287828	2	0	1
ENSG00000286518	0	0	0
ENSG00000295754	0	0	0
ENSG00000297626	0	1	1
ARHGEF16	909	834	1007
ENSG00000272088	0	0	0
MEGF6	1573	1615	1860
MIR551A	0	1	0
ENSG00000309127	0	0	0
ENSG00000238260	10	5	6
TPRG1L	1022	1336	1482
WRAP73	601	982	892
TP73	242	134	67
TP73-AS3	0	0	0
TP73-AS2	0	0	0
GFOD3P	1913	2545	2687
ENSG00000276189	0	0	0
CCDC27	10	13	8
ENSG00000296834	0	0	0
SMIM1	46	74	67
LRRC47	2600	5832	5023
RN7SL574P	1	0	0
ENSG00000272153	2	9	5
CEP104	869	1458	1297
DFFB	209	375	318
C1orf174	496	991	1064
LINC01134	17	15	26
LINC01346	0	1	0
LINC01345	0	0	0
LINC02780	0	1	0
ENSG00000284703	0	0	0
ENSG00000296871	0	0	0
ENSG00000308587	0	0	0
EEF1DP6	0	0	0
ENSG00000301255	0	0	0
ENSG00000299169	0	0	1
ENSG00000302287	0	0	1
LINC01777	0	2	0
ENSG00000306535	0	0	0
ENSG00000284694	0	0	0
ENSG00000299517	0	0	0
ENSG00000227169	0	0	0
ENSG00000295490	0	0	0
LINC01646	0	0	0
ENSG00000300565	0	1	0
ENSG00000303830	0	0	0
AJAP1	221	895	1467
ENSG00000287586	0	0	0
ENSG00000284739	0	0	0
LINC02781	0	0	0
ENSG00000309102	0	0	0
ENSG00000309111	0	0	0
LINC02782	1	6	0
ENSG00000296716	0	0	0
ENSG00000302269	0	0	0
ENSG00000306645	0	0	0
ENSG00000284616	0	0	0
ENSG00000302445	1	0	0
ENSG00000302452	0	0	0
ENSG00000295735	0	0	0
ENSG00000284692	0	0	0
ENSG00000284666	0	0	0
ENSG00000260972	0	0	0
ENSG00000299325	0	0	0
ENSG00000283356	0	0	0
ENSG00000289893	3	1	2
ENSG00000264341	0	0	0
ENSG00000295108	0	0	0
ENSG00000295122	0	0	0
ENSG00000298180	0	1	0
MIR4689	0	1	0
NPHP4	753	1394	1927
ENSG00000299539	0	0	1
KCNAB2	518	547	584
CHD5	340	137	73
ENSG00000285629	0	0	0
RPL22	5774	7917	6905
RNF207-AS1	14	17	13
RNF207	155	123	151
ICMT	7101	12003	14242
ICMT-DT	286	221	140
HES3	847	632	523
GPR153	1039	2025	2383
ACOT7	3212	5452	4634
ENSG00000271746	4	3	5
HES2	32	64	8
ESPN	554	654	216
MIR4252	0	0	0
ENSG00000231868	1	0	0
TNFRSF25	288	344	339
PLEKHG5	1157	1457	1173
ENSG00000297749	0	4	1
ENSG00000299237	0	0	0
ENSG00000299253	1	1	0
NOL9	805	1334	1511
RNU6-731P	0	0	0
ENSG00000229519	0	0	0
TAS1R1	3	3	0
ZBTB48	649	710	917
KLHL21	773	969	1381
ENSG00000295286	0	0	0
ENSG00000304810	0	0	0
PHF13	2550	3014	3339
THAP3	411	621	415
DNAJC11	3204	5796	7474
LINC01672	0	0	0
ENSG00000284744	0	0	0
CAMTA1-DT	19	16	17
CAMTA1	1211	1781	1944
ENSG00000227950	0	0	0
CAMTA1-AS3	0	0	0
RNU1-8P	0	0	0
ENSG00000310450	0	0	0
CAMTA1-IT1	0	2	3
CAMTA1-AS2	0	0	0
ENSG00000294314	0	0	0
CAMTA1-AS1	0	0	0
ENSG00000298973	0	0	0
ENSG00000306883	0	0	0
ENSG00000302704	0	0	0
ENSG00000270171	13	21	7
ENSG00000270035	9	11	9
ENSG00000269978	44	44	21
ENSG00000300603	0	2	0
VAMP3	1486	2448	2830
ENSG00000269925	3	10	8
PER3	487	456	770
ENSG00000236266	0	0	0
UTS2	0	1	0
ENSG00000302605	1	0	0
TNFRSF9	0	5	2
ENSG00000270330	0	0	0
PARK7	5833	9991	9705
ENSG00000299004	1	2	1
Y_RNA	166	281	195
ENSG00000284747	6	12	6
ENSG00000284716	0	1	0
ERRFI1	1857	5072	2285
ERRFI1-DT	1	6	2
RPL7AP18	0	0	0
ENSG00000301325	0	0	0
LINC01714	0	5	1
ENSG00000229305	0	0	0
ENSG00000301344	0	0	0
RNU1-7P	0	0	0
ENSG00000233645	0	0	0
ENSG00000298156	1	1	2
ENSG00000301025	0	0	1
ENSG00000301006	1	3	0
RNU6-991P	0	0	0
SLC45A1	96	179	147
RERE	3531	4928	5547
RERE-AS1	1	2	0
ENSG00000221083	0	0	0
ENSG00000270282	0	0	0
RPL7P11	0	0	0
RPL7P7	2	2	0
ENSG00000303676	0	0	0
ENSG00000226545	0	0	0
ENSG00000228423	1	2	2
RPL23AP19	0	0	0
ENO1	74196	135910	117518
MIR6728	0	0	1
ENO1-AS1	6	18	10
RNU6-304P	0	0	0
HMGN2P17	0	0	0
ENSG00000310107	0	1	1
ENSG00000232208	0	0	0
ENSG00000232663	0	0	0
ENSG00000310124	0	0	0
CA6	0	3	0
ENSG00000290109	0	0	0
RN7SL451P	0	0	0
SLC2A7	4	4	1
SLC2A5	8	17	10
ENSG00000252404	0	0	0
GPR157	267	401	269
MIR34AHG	132	397	337
MIR34A	0	0	0
ENSG00000289914	3	2	0
ENSG00000302015	0	0	0
LNCTAM34A	79	220	145
ENSG00000301983	1	3	2
ENSG00000301968	0	4	2
H6PD	1379	2446	1944
ENSG00000302217	0	0	0
SPSB1	333	376	186
ENSG00000294252	0	0	0
ENSG00000296073	3	0	0
ENSG00000296056	0	0	0
ENSG00000307568	0	0	0
ENSG00000284652	0	0	1
LINC02606	3	11	4
RNA5SP40	0	0	0
ENSG00000301013	0	0	0
ENSG00000301030	0	0	0
ENSG00000306844	0	0	0
ENSG00000296249	0	0	0
ENSG00000235263	0	0	0
SLC25A33	590	761	712
ENSG00000231181	5	5	10
TMEM201	884	1507	1786
ENSG00000307011	0	0	0
PIK3CD	1925	1566	1316
PIK3CD-AS1	0	0	0
ENSG00000233268	0	0	0
ENSG00000301080	1	0	0
PIK3CD-AS2	239	195	179
CLSTN1	7863	10802	10522
MZT1P1	0	0	0
ENSG00000280113	0	1	0
CTNNBIP1	3076	3644	3472
ENSG00000223989	0	0	1
ENSG00000285701	0	0	0
ENSG00000228150	6	4	6
LZIC	995	1203	1141
NMNAT1	172	337	198
RN7SKP269	0	8	8
TMEM274P	0	0	0
MIR5697	0	0	0
ENSG00000241326	0	0	0
RBP7	96	74	31
UBE4B	4678	8259	11093
RPL21P21	0	0	0
PGAM1P11	1	0	2
RNU6-828P	2	5	1
KIF1B	7050	10232	11357
ENSG00000264881	0	0	2
RNU6-37P	1	1	1
RN7SL731P	0	0	0
ENSG00000284735	0	0	1
ENSG00000284642	6	18	13
PGD	13158	23972	27657
ENSG00000271989	6	4	3
CENPS-CORT	1	1	5
CENPS	78	95	120
CORT	2	1	0
DFFA	4878	5464	4070
ENSG00000203469	0	0	1
PEX14	827	1375	1321
ENSG00000307253	0	0	0
ENSG00000287727	0	0	0
RN7SL614P	0	0	0
CASZ1	525	530	203
ENSG00000272078	6	0	3
ENSG00000298629	1	0	2
ENSG00000308013	0	0	0
ENSG00000307983	0	0	0
ENSG00000307999	0	0	0
HSPE1P24	0	0	0
ENSG00000308257	1	0	0
C1orf127	57	6	9
CFL1P6	1	0	0
TARDBP	7184	11489	15488
MASP2	9	8	8
SRM	3094	4397	4883
EXOSC10-AS1	24	26	27
EXOSC10	3657	4429	6130
MTOR	6342	8579	11885
MTOR-AS1	0	0	0
RNU6-537P	0	0	0
ANGPTL7	0	0	0
RNU6-291P	0	0	0
RPL39P6	0	0	0
ENSG00000309051	0	2	0
UBIAD1	1185	1578	2085
UBE2V2P3	0	0	0
ENSG00000284646	3	1	3
ENSG00000302153	9	10	10
ENSG00000302176	0	0	0
MTCYBP45	0	0	0
ENSG00000299102	0	0	0
DISP3	353	606	917
ENSG00000285833	0	0	0
ENSG00000303300	0	0	0
LINC01647	1	0	1
ENSG00000284708	0	0	0
FBXO2	2019	2015	935
FBXO44	910	1192	873
MAD2L2	7219	9498	7188
FBXO6	38	32	15
DRAXIN	2406	3926	7651
ENSG00000301523	0	1	0
ENSG00000305789	1	1	1
AGTRAP	1897	2642	1910
C1orf167	17	33	13
C1orf167-AS1	0	1	0
MTHFR	757	1131	1834
CLCN6	919	1982	2780
ENSG00000276470	0	0	0
ENSG00000278852	0	0	0
NPPA	0	0	0
ENSG00000275915	0	0	0
NPPB	2	0	0
SBF1P2	0	0	0
ENSG00000285646	1	3	4
RNU5E-1	0	0	0
RNU5E-4P	0	0	1
KIAA2013	1476	2138	2341
PLOD1	2752	4587	4163
ENSG00000287384	0	0	0
MFN2	3481	5661	7137
ENSG00000270914	0	0	0
MIIP	1975	2098	2015
MIR6729	0	0	0
RN7SL649P	0	0	0
TNFRSF8	642	1481	1954
RNU6-777P	0	0	0
RPL23AP89	0	0	0
ENSG00000285604	0	0	0
ENSG00000294285	0	0	0
ENSG00000301863	0	0	0
MIR7846	0	0	0
TNFRSF1B	126	146	178
ENSG00000296888	0	0	0
MIR4632	0	0	0
ENSG00000297053	0	0	0
RPL10P17	0	0	0
SNORA70	2	8	2
VPS13D	1310	2240	2433
ENSG00000295309	0	0	0
SNORA59A	2	13	7
LINC02766	0	0	1
ENSG00000309694	0	1	2
DHRS3	553	170	35
RNU6ATAC18P	1	0	0
MIR6730	1	0	0
ENSG00000305650	0	0	0
ENSG00000288927	4	2	0
AADACL4	0	0	0
ENSG00000226166	0	0	0
AADACL3	16	3	0
CFAP107	1	1	0
PRAMEF12	0	0	0
PRAMEF1	0	0	0
LINC01784	0	0	0
PRAMEF11	0	0	0
PRAMEF30P	0	0	0
HNRNPCL1	5	4	12
PRAMEF2	0	0	0
PRAMEF4	0	1	0
ENSG00000296105	0	0	0
PRAMEF10	0	0	0
PRAMEF7	0	0	0
RNU6-1072P	0	0	0
PRAMEF29P	0	0	0
PRAMEF6	0	0	0
PRAMEF28P	0	0	0
PRAMEF27	0	0	0
HNRNPCL3	0	0	0
PRAMEF25	0	0	0
PRAMEF34P	0	0	0
PRAMEF35P	0	0	0
HNRNPCL2	14	13	18
PRAMEF36P	0	0	0
ENSG00000297821	0	0	0
ENSG00000233336	0	0	0
PRAMEF26	0	0	0
HNRNPCL4	0	0	0
PRAMEF9	0	0	0
PRAMEF13	0	0	0
PRAMEF18	0	0	0
ENSG00000295394	0	0	0
PRAMEF31P	0	0	0
PRAMEF5	0	0	0
PRAMEF32P	0	0	0
RNU6-771P	0	0	0
PRAMEF8	0	0	0
PRAMEF33	0	0	0
PRAMEF15	0	0	0
ENSG00000228229	0	0	0
PRAMEF14	0	0	0
PRAMEF19	0	0	0
PRAMEF17	0	0	0
PRAMEF20	0	0	0
ENSG00000307992	0	0	0
ENSG00000295011	0	0	0
LRRC38	7	19	11
ENSG00000301663	0	0	0
ENSG00000259961	0	0	0
BRWD1P1	0	0	0
PDPN	3388	7043	10389
RNA5SP41	0	0	0
ENSG00000237445	0	0	0
ENSG00000295237	1	2	2
ENSG00000253085	0	0	0
PRDM2	1043	1856	2070
ENSG00000289380	2	0	0
ENSG00000304226	1	0	0
KAZN	530	1166	1109
RNU6-1265P	0	0	0
ENSG00000231606	0	0	4
KAZN-AS1	0	5	0
ENSG00000302124	0	0	0
TBCAP2	0	0	0
ENSG00000287756	0	0	0
ENSG00000294214	0	0	0
ENSG00000294586	9	30	17
ENSG00000293964	0	0	0
TMEM51-AS1	107	112	99
ENSG00000310342	0	0	0
TMEM51	416	643	821
TMEM51-AS2	0	0	0
MFFP1	0	0	1
ZBTB2P1	3	1	0
FHAD1	121	132	228
EFHD2-AS1	10	15	14
FHAD1-AS1	0	1	1
ENSG00000236045	0	0	0
EFHD2	1033	2051	2619
CTRC	1	1	2
CELA2A	0	0	0
CELA2B	0	0	0
CASP9	632	1328	1171
DNAJC16	1084	1215	1314
SCARNA21B	1	0	0
ENSG00000272510	1	1	4
AGMAT	279	275	500
ENSG00000237301	2	4	4
CHCHD2P6	98	216	218
RNU7-179P	0	0	0
ENSG00000294489	0	1	1
CD24P1	1	0	0
DDI2	2168	2682	3418
RSC1A1	1	1	0
ENSG00000271742	0	0	0
PLEKHM2	2732	3529	3982
ENSG00000237938	0	0	0
SLC25A34	14	37	53
SLC25A34-AS1	1	1	0
TMEM82	84	34	22
ENSG00000297277	9	17	6
FBLIM1	3110	4165	5656
SPEN-AS1	211	216	121
RPL12P14	1	1	0
UQCRHL	2269	4876	4622
ENSG00000178715	187	234	232
SPEN	3080	5482	6974
ENSG00000270620	0	0	0
ZBTB17	557	1067	996
ENSG00000234607	0	0	1
ENSG00000231353	0	0	0
ENSG00000275503	0	0	0
TBC1D3P6	0	0	0
SRARP	1	0	0
ENSG00000233078	0	0	0
HSPB7	2	4	1
CLCNKA	37	74	66
ENSG00000307216	5	2	2
FAM131C2P	0	0	0
CLCNKB	211	190	104
FAM131C	50	27	19
EPHA2	1233	2060	1596
EPHA2-AS1	3	6	8
ENSG00000297531	0	2	0
ARHGEF19	1740	1213	597
ENSG00000291077	4	4	0
ANO7L1	6	6	2
ENSG00000288398	126	198	141
CPLANE2	137	182	92
ENSG00000293791	3	19	7
MT1XP1	0	0	0
FBXO42	1235	1882	2206
SZRD1	3522	6560	7300
RPL22P3	148	236	236
SPATA21	7	9	11
NECAP2	1066	1592	1929
CROCCP3	195	317	294
LINC01772	5	13	12
ENSG00000306228	4	21	3
RNU1-1	1	0	0
ENSG00000224174	62	27	20
LINC01783	2	13	19
RNU1-6P	0	0	0
ENSG00000298308	42	68	39
PDE4DIPP8	0	0	0
NBPF1	811	1095	968
ENSG00000271732	0	2	0
ENSG00000291072	407	591	583
CROCCP2	22	22	13
ENSG00000283773	0	0	0
ENSG00000293920	0	16	8
ENSG00000293901	0	0	0
MST1P2	141	36	23
ENSG00000282143	0	1	0
RNU1-3	0	0	0
ENSG00000280114	1	3	6
ENSG00000290849	440	1368	1498
EIF1AXP1	0	0	0
ENSG00000296694	9	46	43
ESPNP	2	6	6
ENSG00000279151	0	0	0
ENSG00000293526	0	0	0
ENSG00000282740	0	1	0
CROCC	1441	2062	2309
ENSG00000290850	3	10	5
RNU1-4	0	0	0
CROCCP4	0	0	0
ENSG00000290851	23	0	0
MST1L	0	0	0
ENSG00000223643	0	0	0
PDE4DIPP9	0	0	0
MIR3675	0	0	0
ENSG00000302843	1	3	1
LINC03126	17	37	78
RNU1-5P	0	0	0
ENSG00000238142	90	119	91
ENSG00000235241	0	0	0
RNU1-2	0	3	0
ENSG00000272426	0	0	2
ENSG00000290122	1	8	2
MFAP2	3236	3137	3740
ENSG00000286898	2	2	3
ENSG00000226526	1	0	0
ATP13A2	3708	4399	3648
ENSG00000288636	0	0	0
SDHB	1122	2204	1775
PADI2	361	774	819
LINC02783	2	5	0
ENSG00000282843	0	0	0
PADI1	72	40	27
PADI3	686	122	131
MIR3972	0	0	0
PADI4	22	5	11
PADI6	0	1	2
RCC2-AS1	3	6	4
RCC2	11925	29406	32167
ENSG00000308620	0	0	0
ENSG00000290096	4	6	14
ENSG00000307703	1	15	0
ENSG00000306620	0	0	0
ARHGEF10L	1549	2615	3236
ENSG00000302710	0	0	0
LINC02810	0	0	0
ACTL8	20	45	133
ENSG00000296176	0	0	0
ENSG00000296161	0	0	0
ENSG00000284653	0	0	0
ENSG00000302372	0	0	0
LINC01654	0	0	0
IGSF21	732	646	248
ENSG00000280222	2	2	0
ENSG00000293810	0	0	1
IGSF21-AS1	0	0	0
ENSG00000293766	0	0	0
ENSG00000225387	16	8	4
ENSG00000294535	1	9	7
KLHDC7A	1539	247	146
DYNLL1P3	0	0	0
ENSG00000225478	0	0	0
ENSG00000300147	0	2	0
PAX7	43	32	9
ENSG00000308985	0	0	0
TAS1R2	0	0	0
ALDH4A1	2280	2403	1853
MIR4695	0	0	0
MIR1290	0	0	0
ENSG00000310349	3	1	0
IFFO2	494	699	516
ENSG00000295712	0	0	0
ENSG00000308389	0	0	0
ENSG00000307102	0	0	0
ENSG00000272084	18	16	32
UBR4	8014	12828	14883
EMC1-AS1	21	47	44
EMC1	2991	4548	4626
ENSG00000309633	1	0	2
MRTO4	2034	2794	3303
ENSG00000286064	0	0	0
AKR7L	24	18	35
AKR7A3	8	17	18
ENSG00000270728	0	0	0
ENSG00000308073	0	0	0
AKR7A2	952	1665	1158
RNU6-1099P	3	2	3
SLC66A1	486	712	859
CAPZB	11255	17546	17925
ENSG00000306364	0	0	0
RN7SL277P	0	0	0
ENSG00000306329	0	0	0
MICOS10	157	284	293
ENSG00000306287	0	0	0
RNU4-28P	0	0	0
MICOS10-DT	0	0	0
NBL1	219	289	98
MICOS10-NBL1	0	0	0
ENSG00000226396	47	61	25
ENSG00000306350	0	0	0
HTR6	134	291	263
TMCO4	156	207	131
RNF186	0	0	0
RNF186-AS1	0	0	0
OTUD3	750	1355	1023
ENSG00000308515	0	0	0
PLA2G2E	1	0	0
RN7SL304P	0	0	0
PLA2G2A	1313	679	573
ENSG00000297402	0	0	0
PLA2G5	3	2	3
PLA2G2D	0	2	0
ENSG00000307383	0	0	0
PLA2G2F	0	0	0
ENSG00000227066	0	2	1
PLA2G2C	1	11	11
UBXN10	75	210	338
LINC01757	0	0	0
ENSG00000284710	0	0	0
VWA5B1	38	230	437
ENSG00000226664	0	0	0
ENSG00000304627	0	0	0
LINC01141	0	0	0
ENSG00000226487	0	0	0
ENSG00000284641	0	0	0
ENSG00000284743	0	0	0
ENSG00000296909	0	5	3
CAMK2N1	196	483	270
ENSG00000289402	6	13	2
MUL1	999	2141	2252
RPS4XP4	0	0	0
FAM43B	31	221	355
CDA	294	563	290
PINK1	1091	2985	1762
MIR6084	0	0	0
PINK1-AS	133	373	367
DDOST	9264	15230	13341
ENSG00000296887	2	0	3
KIF17	588	461	293
ENSG00000235432	5	1	3
SH2D5	674	975	1313
ENSG00000298940	0	0	0
ENSG00000233069	1	1	1
HP1BP3	3675	6859	8785
EIF4G3	4311	8355	10043
RNU7-200P	0	0	0
MIR1256	0	0	0
RPS15AP6	0	1	0
ENSG00000236073	0	0	0
HSPE1P27	0	0	0
ENSG00000287192	3	0	4
ECE1	3234	4772	4849
ENSG00000236936	0	1	0
ECE1-AS1	10	28	9
ENSG00000296859	6	11	3
PPP1R11P1	0	0	0
PDE4DIPP10	0	0	0
ENSG00000236009	0	0	0
NBPF2P	49	72	59
HS6ST1P1	69	69	105
CROCCP5	1	0	1
ENSG00000295832	1	1	0
NBPF3	741	1274	1126
PFN1P10	0	0	0
ALPL	10964	9777	9539
ENSG00000298372	0	0	0
ENSG00000289715	0	0	0
ENSG00000305564	0	0	0
LINC02596	0	0	0
RAP1GAP	902	1118	800
USP48	3528	5399	5285
ENSG00000231978	0	0	0
LDLRAD2	48	59	124
HSPG2	6363	4562	5105
ENSG00000305448	0	0	0
RPL21P29	0	0	0
ENSG00000293453	0	0	0
ENSG00000283234	0	0	0
CELA3B	0	0	0
ENSG00000285959	0	0	0
RN7SL386P	0	0	0
RNU6-1022P	0	0	0
CELA3A	0	0	0
RN7SL186P	0	0	0
RNU6-776P	0	0	0
LINC01635	7	11	5
LINC00339	190	306	245
ENSG00000289694	0	0	0
CDC42-AS1	1	0	1
ENSG00000285794	0	0	0
CDC42	38	68	34
CDC42-IT1	0	2	0
MPHOSPH6P1	0	0	0
ENSG00000305135	1	0	0
WNT4	371	52	43
ENSG00000305152	0	0	0
ENSG00000285873	10	2	1
ENSG00000294752	4	1	2
MIR4418	0	0	0
ENSG00000294164	0	0	0
ENSG00000302675	2	0	0
PPIAP34	0	0	0
ENSG00000279625	2	2	0
ENSG00000299881	1	0	0
ZBTB40	600	875	1772
ENSG00000302246	0	0	0
ZBTB40-IT1	1	4	5
EPHA8	361	315	368
MIR6127	1	0	0
C1QA	0	0	0
ENSG00000289692	0	0	0
C1QC	0	0	0
ENSG00000308848	0	0	0
C1QB	0	0	0
EPHB2	2842	2375	3188
MIR4684	0	0	0
ENSG00000225952	0	0	0
MIR4253	0	0	0
LACTBL1	1	0	0
ENSG00000297948	0	0	0
TEX46	4	7	1
KDM1A	15555	22772	21934
ENSG00000240553	0	1	1
MIR3115	0	0	0
ENSG00000266802	0	0	0
LUZP1	3996	3358	4271
ENSG00000293565	0	0	0
ENSG00000229010	0	0	0
RNU6-514P	0	0	0
RNU6-135P	0	0	0
ENSG00000289014	1	1	4
HTR1D	486	143	162
ENSG00000304077	0	0	0
RPL29P6	4	8	5
ENSG00000302918	0	0	0
LINC01355	62	69	67
ENSG00000284726	0	0	0
HNRNPR	9209	12337	15840
ZNF436	140	179	155
ZNF436-AS1	14	39	13
ENSG00000271420	0	0	0
TCEA3	6	5	3
ENSG00000232482	0	0	0
ENSG00000295946	0	0	0
ASAP3	1956	3467	3459
E2F2	410	782	729
ENSG00000307540	0	1	0
ENSG00000307580	0	0	0
ENSG00000235052	12	13	11
ID3	3367	2804	3188
ENSG00000307609	0	0	0
ENSG00000285802	1	0	0
MDS2	1	0	0
EEF1A1P48	0	0	0
ENSG00000304075	0	0	0
RPL11	32179	39565	31828
ELOA-AS1	97	114	111
ELOA	2809	3923	5085
