""	WT_1	WT_2	Y2_1	Y2_2	YT_1	YT_2
MTATP6P1	470	1095	17561	40773	23536	1481
MTCO3P12	71	97	1239	1959	1222	82
WBP1LP6	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0
ENSG00000230021	0	0	0	0	0	0
CICP3	0	0	0	0	0	0
RNU6-1199P	0	0	0	0	0	0
ENSG00000229905	0	0	0	0	0	0
ENSG00000228327	0	0	0	0	0	0
LINC01409	3	15	20	48	87	24
ENSG00000285268	0	0	0	0	0	0
ENSG00000230092	0	0	0	0	0	0
FAM87B	0	0	0	0	0	4
LINC01128	241	224	489	442	670	219
ENSG00000297178	0	0	0	0	0	0
ENSG00000297224	0	0	0	0	0	0
FAM41C	0	1	1	0	0	0
TUBB8P11	0	0	4	3	0	0
ENSG00000283040	0	0	0	0	0	0
ENSG00000296088	0	0	0	0	0	0
ENSG00000272438	55	35	248	84	135	72
ENSG00000298603	0	0	0	0	0	0
LINC02593	0	1	49	8	1	8
SAMD11	4	7	294	36	2	13
NOC2L	5386	4794	10710	3399	5757	3119
KLHL17	356	301	629	151	486	350
PLEKHN1	51	45	59	8	6	10
PERM1	0	0	1	0	1	0
ENSG00000303599	0	0	1	0	0	0
ENSG00000272512	1	4	3	0	1	2
HES4	6	4	35	8	13	19
ENSG00000303623	2	0	1	0	0	3
ISG15	259	230	301	139	370	204
ENSG00000303614	0	0	0	0	0	1
ENSG00000231702	0	0	12	3	11	0
ENSG00000224969	0	0	0	0	1	0
AGRN	6585	5006	5090	1017	5358	4690
ENSG00000242590	0	0	0	0	0	0
ENSG00000291156	65	47	47	52	67	28
ENSG00000273443	1	0	0	0	0	1
ENSG00000217801	0	0	0	0	0	2
ENSG00000304119	15	8	24	21	36	11
ENSG00000304169	0	2	0	1	4	1
RNF223	0	2	1	0	0	0
C1orf159	343	320	608	262	616	416
ENSG00000285812	0	0	0	0	0	0
ENSG00000299943	2	0	0	0	0	0
LINC01342	0	0	0	0	0	0
ENSG00000304965	0	0	0	0	0	0
MIR200B	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0
MIR429	0	0	0	0	0	0
ENSG00000272141	7	8	0	0	0	0
TTLL10-AS1	0	2	0	1	3	1
TTLL10	10	15	0	4	52	16
TNFRSF18	16	15	0	0	0	0
TNFRSF4	0	2	0	0	6	4
SDF4	2482	2371	5517	1703	4052	2639
B3GALT6	560	518	1277	1057	1321	641
C1QTNF12	17	25	15	4	5	11
ENSG00000260179	1	1	5	3	4	2
UBE2J2	1904	1668	3105	1082	2590	1415
LINC01786	12	11	7	3	13	9
SCNN1D	42	32	48	13	96	95
ACAP3	633	509	874	158	835	679
MIR6726	0	0	0	0	0	0
PUSL1	864	769	1053	193	653	482
INTS11	2754	2486	4467	2057	4394	1992
MIR6727	0	0	0	0	0	0
ENSG00000240731	14	12	16	0	22	21
CPTP	437	390	763	193	489	365
TAS1R3	0	4	2	4	5	6
DVL1	1427	1353	2620	474	1181	1185
MIR6808	0	0	0	0	0	0
ENSG00000304860	0	1	5	0	7	3
MXRA8	205	211	200	51	483	388
AURKAIP1	2435	2388	4298	809	2236	1866
NDUFB4P8	0	0	0	0	0	0
CCNL2	1333	1280	2621	1276	2572	1277
MRPL20-AS1	383	376	806	335	656	366
MRPL20	1275	1261	2958	2352	3052	1074
RN7SL657P	0	0	0	0	0	0
ENSG00000301639	15	15	15	21	32	11
MRPL20-DT	54	48	74	75	127	44
ANKRD65	7	6	9	10	21	17
ANKRD65-AS1	2	3	1	3	0	0
TMEM88B	98	76	274	217	238	88
LINC01770	85	81	82	51	173	112
VWA1	768	717	1737	630	1480	990
ATAD3C	8	13	13	16	47	15
ATAD3B	752	680	1387	186	341	323
ENSG00000290916	1	2	1	0	0	0
ENSG00000284740	0	0	0	0	0	0
ATAD3A	1112	1002	2070	336	656	575
TMEM240	58	35	68	18	99	70
ENSG00000299413	0	0	0	0	0	0
SSU72	4467	3762	8606	6700	9274	3024
SSU72-AS1	30	21	42	13	10	6
ENSG00000274481	0	0	0	0	0	0
FNDC10	1212	1017	2366	888	2772	1432
ENSG00000286989	22	24	48	14	41	27
ENSG00000272106	140	135	157	271	467	163
MIB2	605	508	1006	230	729	565
MMP23B	11	5	12	0	16	14
CDK11B	1376	1271	2319	1319	2588	986
ENSG00000272004	6	4	13	5	16	6
SLC35E2B	2286	2079	4619	2538	4960	2408
ENSG00000293187	1	0	0	0	0	0
ENSG00000269737	0	0	0	0	0	1
ENSG00000310190	2	3	1	2	3	2
ENSG00000310238	89	85	153	11	76	73
MMP23A	0	0	0	0	0	0
CDK11A	23	21	35	3	14	16
ENSG00000268575	66	60	75	68	174	66
ENSG00000293188	0	2	2	0	3	1
ENSG00000290854	61	67	74	44	110	65
SLC35E2A	0	0	0	0	0	0
ENSG00000227775	0	0	0	0	0	0
NADK	2543	2104	4716	1826	3418	1903
ENSG00000302550	0	1	3	0	9	2
GNB1	17417	16400	27364	22757	36829	13941
GNB1-DT	7	3	23	20	20	3
ENSG00000303984	0	0	0	0	0	0
ENSG00000294910	0	0	0	0	1	0
ENSG00000306476	1	4	1	0	4	1
CALML6	8	9	7	2	12	7
TMEM52	380	332	461	295	665	308
CFAP74	3	9	2	3	10	11
ENSG00000233542	23	19	4	13	106	51
GABRD	82	57	52	33	187	123
ENSG00000304958	5	3	4	0	8	5
PRKCZ-DT	2	1	4	4	2	4
PRKCZ	1540	1317	2103	1521	2457	939
ENSG00000308181	0	0	0	0	0	0
ENSG00000271806	0	0	0	0	0	0
PRKCZ-AS1	78	62	79	51	162	63
FAAP20	1429	1223	2214	610	1904	1427
ENSG00000304038	5	1	1	2	0	2
ENSG00000234396	0	1	0	0	0	1
ENSG00000304143	0	1	0	1	0	0
SKI	3323	2522	5222	3355	6417	2685
ENSG00000295493	0	0	0	0	0	0
ENSG00000287356	31	32	47	12	58	38
MORN1	129	108	244	91	141	118
ENSG00000272161	0	2	1	0	4	0
ENSG00000292993	21	35	83	44	46	14
ENSG00000269896	0	0	0	0	0	0
ENSG00000272420	5	1	4	10	13	2
ENSG00000295371	0	0	0	0	0	0
RER1	1901	1971	3733	1838	3069	1613
PEX10	1010	971	1829	1083	2158	951
PLCH2	17	8	18	5	70	59
ENSG00000224387	0	0	2	1	0	2
ENSG00000229393	0	0	2	3	7	1
PANK4	672	619	822	580	1305	699
HES5	1	2	4	0	11	14
ENSG00000272449	34	26	38	1	17	40
TNFRSF14-AS1	0	1	0	2	0	0
ENSG00000307979	1	0	0	0	3	4
TNFRSF14	0	2	3	1	39	19
ENSG00000225931	0	0	0	0	0	0
ENSG00000307958	1	0	0	0	0	1
ENSG00000228037	0	0	0	1	2	0
ENSG00000289610	0	0	0	0	0	0
PRXL2B	1765	1642	3531	1863	3283	1556
MMEL1	9	11	7	10	47	28
MMEL1-AS1	0	3	10	4	8	1
TTC34	11	6	32	26	57	14
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000287396	0	0	0	1	2	0
ENSG00000231630	0	0	0	0	0	0
ENSG00000302855	0	0	0	0	0	0
ENSG00000295089	0	0	0	0	0	0
ENSG00000300015	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ACTRT2	1	0	1	4	5	1
PRDM16-DT	2	0	36	1	4	4
PRDM16	50	36	182	57	92	40
MIR4251	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0
ENSG00000306427	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0
ENSG00000306439	0	0	0	0	0	0
ENSG00000272235	0	0	0	0	0	2
ENSG00000287828	0	1	0	0	2	0
ENSG00000286518	0	0	0	0	0	0
ENSG00000295754	0	0	0	0	0	0
ENSG00000297626	0	1	1	1	0	1
ARHGEF16	637	564	1258	264	426	308
ENSG00000272088	0	0	1	0	0	0
MEGF6	801	604	661	313	891	767
MIR551A	1	0	0	0	0	0
ENSG00000309127	0	0	0	0	0	0
ENSG00000238260	2	0	3	6	4	2
TPRG1L	1254	1161	2392	1054	1226	660
WRAP73	640	520	1136	361	739	469
TP73	237	183	301	82	86	54
TP73-AS3	0	0	0	0	1	0
TP73-AS2	0	0	0	0	0	1
GFOD3P	1723	1485	2157	1091	2620	1394
ENSG00000276189	0	0	0	0	0	0
CCDC27	4	1	6	1	11	4
ENSG00000296834	0	0	0	0	0	0
SMIM1	27	17	46	7	92	50
LRRC47	2963	2728	7299	3934	6511	3055
RN7SL574P	1	0	0	2	3	4
ENSG00000272153	0	0	3	1	13	4
CEP104	877	753	1689	1089	1296	495
DFFB	355	344	619	256	244	154
C1orf174	737	695	1312	1170	1982	722
LINC01134	10	5	21	10	26	13
LINC01346	1	0	0	3	0	3
LINC01345	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0
ENSG00000284703	2	1	2	0	1	0
ENSG00000296871	0	1	0	0	0	0
ENSG00000308587	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0
ENSG00000301255	0	0	0	0	0	0
ENSG00000299169	0	0	0	0	0	0
ENSG00000302287	0	1	0	0	0	0
LINC01777	0	1	0	0	0	0
ENSG00000306535	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000299517	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000295490	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
ENSG00000300565	0	0	0	0	0	0
ENSG00000303830	0	0	0	0	1	0
AJAP1	376	329	1273	1184	1983	755
ENSG00000287586	2	1	0	0	0	0
ENSG00000284739	0	0	0	0	0	0
LINC02781	1	1	0	0	0	0
ENSG00000309102	0	0	0	0	0	0
ENSG00000309111	0	0	0	0	0	0
LINC02782	4	5	5	7	2	1
ENSG00000296716	2	0	1	0	0	0
ENSG00000302269	0	0	0	0	0	0
ENSG00000306645	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000302445	1	3	1	0	0	0
ENSG00000302452	3	0	0	2	0	0
ENSG00000295735	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000299325	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000289893	8	2	4	3	7	2
ENSG00000264341	0	0	0	0	0	0
ENSG00000295108	0	0	0	0	0	0
ENSG00000295122	0	0	0	0	0	0
ENSG00000298180	0	3	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	502	503	834	483	1364	781
ENSG00000299539	1	0	5	3	2	1
KCNAB2	408	369	290	157	646	352
CHD5	40	50	119	41	34	24
ENSG00000285629	0	0	0	0	0	0
RPL22	5521	5204	8962	8329	10367	4662
RNF207-AS1	4	4	12	4	11	7
RNF207	37	38	58	60	171	63
ICMT	6850	6496	13750	8958	13985	5911
ICMT-DT	132	135	329	134	183	91
HES3	458	378	2041	232	690	776
GPR153	707	591	1764	1153	3926	1952
ACOT7	4116	3838	5220	3011	6146	2866
ENSG00000271746	0	3	4	8	13	4
HES2	18	15	170	59	18	20
ESPN	761	603	730	217	599	487
MIR4252	0	0	0	0	0	0
ENSG00000231868	1	0	1	0	0	0
TNFRSF25	93	80	176	51	243	182
PLEKHG5	617	527	822	336	1034	518
ENSG00000297749	1	1	0	5	6	1
ENSG00000299237	0	1	1	0	0	2
ENSG00000299253	1	0	0	0	0	0
NOL9	633	561	1241	1055	1223	465
RNU6-731P	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0
TAS1R1	2	0	4	3	0	2
ZBTB48	318	286	495	186	551	303
KLHL21	696	686	1289	327	624	485
ENSG00000295286	0	0	0	0	0	0
ENSG00000304810	2	0	0	0	1	0
PHF13	1997	1832	3205	1269	2648	1522
THAP3	277	245	398	139	539	321
DNAJC11	3371	3151	7474	4005	5895	2621
LINC01672	0	0	0	0	1	0
ENSG00000284744	0	0	0	0	0	0
CAMTA1-DT	23	27	23	35	41	15
CAMTA1	1412	1183	2063	3544	5894	1600
ENSG00000227950	0	0	0	0	0	0
CAMTA1-AS3	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
ENSG00000310450	0	0	0	0	0	0
CAMTA1-IT1	0	0	1	6	2	1
CAMTA1-AS2	0	0	0	0	1	0
ENSG00000294314	0	0	0	4	1	0
CAMTA1-AS1	0	0	0	1	0	0
ENSG00000298973	0	0	0	0	0	0
ENSG00000306883	0	0	0	0	0	0
ENSG00000302704	0	0	0	0	0	0
ENSG00000270171	1	5	2	3	13	4
ENSG00000270035	1	1	4	0	6	3
ENSG00000269978	5	5	15	4	26	19
ENSG00000300603	0	0	0	0	2	0
VAMP3	1976	1785	2258	2674	5817	1961
ENSG00000269925	2	2	2	1	2	0
PER3	364	330	291	445	1178	380
ENSG00000236266	0	0	0	0	0	0
UTS2	0	0	0	0	1	0
ENSG00000302605	0	0	0	0	0	0
TNFRSF9	0	0	0	0	0	1
ENSG00000270330	0	0	0	0	0	0
PARK7	4891	4816	7850	5228	8075	4372
ENSG00000299004	1	0	0	6	3	0
Y_RNA	85	77	134	166	249	82
ENSG00000284747	10	3	9	13	16	5
ENSG00000284716	0	0	0	0	2	0
ERRFI1	2669	2580	5962	4698	3730	1309
ERRFI1-DT	1	1	0	3	2	1
RPL7AP18	0	0	0	0	0	0
ENSG00000301325	0	0	0	0	0	0
LINC01714	6	0	3	0	0	0
ENSG00000229305	0	0	0	0	0	0
ENSG00000301344	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0
ENSG00000298156	0	1	0	0	0	0
ENSG00000301025	0	0	0	1	0	0
ENSG00000301006	2	4	3	0	2	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	142	98	134	48	144	103
RERE	2832	2045	4591	3535	5960	2057
RERE-AS1	0	0	2	0	1	1
ENSG00000221083	0	0	0	1	0	0
ENSG00000270282	0	0	0	0	0	0
RPL7P11	0	1	3	0	0	0
RPL7P7	0	0	0	0	0	0
ENSG00000303676	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0
ENSG00000228423	0	0	0	0	0	1
RPL23AP19	0	0	0	0	0	0
ENO1	102006	95784	111867	48547	151511	109529
MIR6728	0	0	0	0	0	0
ENO1-AS1	5	21	132	21	58	29
RNU6-304P	0	0	0	0	0	0
HMGN2P17	1	1	48	26	97	6
ENSG00000310107	0	0	0	0	0	0
ENSG00000232208	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000310124	0	0	0	0	0	0
CA6	0	0	1	0	1	0
ENSG00000290109	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	1	2	1	0	3	2
SLC2A5	1	4	16	5	5	1
ENSG00000252404	0	0	0	0	0	0
GPR157	186	197	325	112	260	166
MIR34AHG	62	43	138	127	337	144
MIR34A	0	0	0	0	0	0
ENSG00000289914	0	0	0	0	0	0
ENSG00000302015	0	0	0	0	0	0
LNCTAM34A	45	46	85	78	207	80
ENSG00000301983	0	0	3	0	5	2
ENSG00000301968	1	0	0	5	3	0
H6PD	1081	938	1414	738	2504	1283
ENSG00000302217	0	0	0	0	0	0
SPSB1	205	199	491	248	306	160
ENSG00000294252	0	0	0	0	0	0
ENSG00000296073	0	0	0	0	0	0
ENSG00000296056	0	0	0	0	0	0
ENSG00000307568	0	0	0	0	0	0
ENSG00000284652	2	5	0	3	2	0
LINC02606	6	1	8	5	14	6
RNA5SP40	0	0	0	0	0	0
ENSG00000301013	0	0	0	0	0	0
ENSG00000301030	0	0	0	0	0	0
ENSG00000306844	0	0	0	0	0	0
ENSG00000296249	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0
SLC25A33	480	420	832	788	975	370
ENSG00000231181	8	3	4	0	2	2
TMEM201	1201	1022	2034	662	1875	1048
ENSG00000307011	0	0	0	0	0	0
PIK3CD	1081	908	1154	444	1059	554
PIK3CD-AS1	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0
ENSG00000301080	0	0	0	1	0	0
PIK3CD-AS2	166	118	177	198	559	161
CLSTN1	5893	5374	10578	4057	10791	5996
MZT1P1	0	0	0	0	0	1
ENSG00000280113	0	0	0	0	3	0
CTNNBIP1	2169	1992	2964	1367	3747	2429
ENSG00000223989	0	0	1	0	1	0
ENSG00000285701	0	0	0	0	0	0
ENSG00000228150	4	5	12	18	14	6
LZIC	512	498	987	964	1333	498
NMNAT1	152	137	217	108	225	120
RN7SKP269	3	7	7	8	8	3
TMEM274P	0	0	0	0	0	0
MIR5697	1	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
RBP7	48	41	72	55	62	20
UBE4B	5662	4974	9229	8021	13301	4609
RPL21P21	0	0	0	0	0	0
PGAM1P11	1	0	0	0	0	0
RNU6-828P	0	0	0	0	2	1
KIF1B	4901	3935	6523	5800	10257	3775
ENSG00000264881	0	1	0	0	0	0
RNU6-37P	0	0	0	1	1	0
RN7SL731P	0	0	0	0	0	0
ENSG00000284735	0	0	0	0	1	0
ENSG00000284642	4	1	5	10	20	6
PGD	17553	16905	28237	19590	38963	16522
ENSG00000271989	4	3	1	4	7	3
CENPS-CORT	9	6	1	0	5	1
CENPS	62	50	85	184	176	40
CORT	0	5	1	0	3	2
DFFA	3779	3666	5853	3989	5227	2020
ENSG00000203469	0	1	0	0	0	0
PEX14	868	796	1611	752	1566	756
ENSG00000307253	0	0	0	0	0	0
ENSG00000287727	0	0	0	0	0	0
RN7SL614P	0	0	0	0	0	1
CASZ1	404	329	415	161	403	209
ENSG00000272078	1	1	2	1	0	1
ENSG00000298629	0	2	0	2	4	0
ENSG00000308013	1	0	0	0	0	0
ENSG00000307983	0	0	0	0	0	0
ENSG00000307999	0	0	0	0	0	0
HSPE1P24	0	0	0	0	0	0
ENSG00000308257	1	0	1	0	0	0
C1orf127	10	4	3	0	5	3
CFL1P6	1	0	1	0	0	0
TARDBP	9686	9425	13763	15644	22197	7198
MASP2	2	3	14	2	6	2
SRM	5345	4262	7707	4758	7044	2709
EXOSC10-AS1	24	24	75	66	61	25
EXOSC10	2998	2792	5070	5990	6735	1982
MTOR	5266	4318	6760	4083	8465	3385
MTOR-AS1	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0
ENSG00000309051	1	0	3	2	0	0
UBIAD1	1211	1038	1871	1182	2275	1017
UBE2V2P3	0	0	6	4	4	0
ENSG00000284646	2	1	1	0	0	0
ENSG00000302153	1	3	12	7	10	4
ENSG00000302176	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0
ENSG00000299102	0	0	0	0	0	1
DISP3	353	254	255	107	761	532
ENSG00000285833	0	0	0	0	0	0
ENSG00000303300	0	0	0	0	0	0
LINC01647	4	0	6	0	4	2
ENSG00000284708	0	0	0	0	0	0
FBXO2	845	695	2792	837	722	480
FBXO44	497	450	1182	445	703	355
MAD2L2	5297	4791	12713	4710	8193	3883
FBXO6	23	16	34	10	15	12
DRAXIN	1473	1344	2767	1745	5014	2207
ENSG00000301523	0	0	2	1	0	0
ENSG00000305789	0	1	6	2	0	0
AGTRAP	1822	1668	3189	737	2277	1501
C1orf167	21	16	9	4	5	8
C1orf167-AS1	0	0	0	0	0	0
MTHFR	687	678	1294	495	1098	791
CLCN6	1285	1093	1533	1925	4875	1774
ENSG00000276470	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0
NPPA	0	0	0	0	0	0
ENSG00000275915	0	0	0	0	0	0
NPPB	0	1	0	0	0	0
SBF1P2	0	0	0	0	0	0
ENSG00000285646	1	0	1	1	0	1
RNU5E-1	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	0
KIAA2013	1634	1505	2878	1269	2814	1570
PLOD1	2605	2418	4855	2285	7003	3920
ENSG00000287384	0	0	0	0	0	0
MFN2	3046	3037	6505	2550	4695	2585
ENSG00000270914	0	0	0	0	0	0
MIIP	1177	1056	1790	411	1493	1131
MIR6729	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0
TNFRSF8	1066	973	4191	1191	1293	791
RNU6-777P	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0
ENSG00000294285	0	0	0	0	0	0
ENSG00000301863	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0
TNFRSF1B	173	126	76	76	230	129
ENSG00000296888	0	0	0	0	0	0
MIR4632	0	0	0	0	0	0
ENSG00000297053	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0
SNORA70	0	0	1	2	2	3
VPS13D	1091	716	1571	1009	1471	576
ENSG00000295309	0	0	0	0	0	0
SNORA59A	6	5	2	3	6	1
LINC02766	0	0	0	0	0	0
ENSG00000309694	0	0	0	0	1	1
DHRS3	194	168	277	70	52	37
RNU6ATAC18P	0	0	0	0	0	0
MIR6730	0	0	0	0	0	0
ENSG00000305650	0	0	0	0	0	0
ENSG00000288927	3	2	3	0	2	0
AADACL4	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0
AADACL3	9	9	23	6	0	0
CFAP107	0	0	1	1	0	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0
HNRNPCL1	0	5	117	52	125	6
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
ENSG00000296105	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0
HNRNPCL2	0	1	5	2	3	0
PRAMEF36P	0	0	0	0	0	0
ENSG00000297821	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	0	1	9	1	1	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
ENSG00000295394	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
ENSG00000307992	0	0	0	0	0	0
ENSG00000295011	0	0	0	0	0	0
LRRC38	9	9	8	6	10	2
ENSG00000301663	0	0	0	0	0	0
ENSG00000259961	0	1	0	0	1	0
BRWD1P1	0	0	0	0	0	0
PDPN	3035	2712	15043	12503	12609	4279
RNA5SP41	0	0	0	0	0	0
ENSG00000237445	0	0	0	1	0	0
ENSG00000295237	1	2	3	0	5	5
ENSG00000253085	0	0	0	0	0	0
PRDM2	809	695	1248	1447	2665	783
ENSG00000289380	0	0	0	0	0	0
ENSG00000304226	0	0	0	0	1	0
KAZN	439	371	1247	908	1441	552
RNU6-1265P	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0
ENSG00000302124	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0
ENSG00000287756	0	0	0	0	0	0
ENSG00000294214	0	0	0	0	0	0
ENSG00000294586	0	5	52	53	40	7
ENSG00000293964	0	0	0	0	0	0
TMEM51-AS1	48	33	107	58	108	43
ENSG00000310342	0	0	0	0	0	0
TMEM51	338	319	809	558	1247	486
TMEM51-AS2	0	0	0	0	2	0
MFFP1	0	0	0	0	0	0
ZBTB2P1	0	0	4	2	3	0
FHAD1	89	65	81	81	190	70
EFHD2-AS1	15	6	11	6	9	7
FHAD1-AS1	0	0	2	0	0	0
ENSG00000236045	0	0	0	0	0	0
EFHD2	1201	1031	2443	1558	2308	1181
CTRC	0	0	0	0	0	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	764	705	1258	623	1101	552
DNAJC16	823	698	1452	1076	1430	481
SCARNA21B	0	0	0	0	0	0
ENSG00000272510	2	1	2	5	7	7
AGMAT	223	205	252	139	285	130
ENSG00000237301	1	2	0	3	5	1
CHCHD2P6	173	143	172	29	117	151
RNU7-179P	0	0	0	0	0	0
ENSG00000294489	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0
DDI2	1442	1215	2801	1973	2462	939
RSC1A1	0	0	0	0	0	0
PLEKHM2	2403	2158	3715	1509	3480	1887
ENSG00000271742	0	0	0	0	0	0
ENSG00000237938	0	0	3	0	0	1
SLC25A34	8	7	18	16	31	19
SLC25A34-AS1	0	0	0	0	0	0
TMEM82	28	31	14	4	29	32
ENSG00000297277	3	0	4	4	5	4
FBLIM1	3353	2955	6356	2552	5785	2817
SPEN-AS1	118	125	173	172	266	86
RPL12P14	0	0	31	17	47	2
UQCRHL	1822	1941	4149	2123	3274	1798
ENSG00000178715	235	193	437	108	271	126
SPEN	1803	1273	3416	3365	6377	1957
ENSG00000270620	0	0	0	0	0	0
ZBTB17	506	403	876	355	779	410
ENSG00000234607	0	0	0	0	0	0
ENSG00000231353	0	0	0	0	0	0
ENSG00000275503	0	0	0	0	0	0
