""	WT_1	WT_2	Y2_1	Y2_2	YT_1	YT_2
ENSG00000303984	0	0	0	0	0	0
ENSG00000294910	0	0	0	0	1	0
ENSG00000306476	1	4	1	1	4	0
CALML6	8	9	7	7	12	2
TMEM52	380	332	461	308	665	295
CFAP74	3	9	2	11	10	3
ENSG00000233542	23	19	4	51	106	13
GABRD	82	57	52	123	187	33
ENSG00000304958	5	3	4	5	8	0
PRKCZ-DT	2	1	4	4	2	4
PRKCZ	1540	1317	2103	939	2457	1521
ENSG00000308181	0	0	0	0	0	0
ENSG00000271806	0	0	0	0	0	0
PRKCZ-AS1	78	62	79	63	162	51
FAAP20	1429	1223	2214	1427	1904	610
ENSG00000304038	5	1	1	2	0	2
ENSG00000234396	0	1	0	1	0	0
ENSG00000304143	0	1	0	0	0	1
SKI	3323	2522	5222	2685	6417	3355
ENSG00000295493	0	0	0	0	0	0
ENSG00000287356	31	32	47	38	58	12
MORN1	129	108	244	118	141	91
ENSG00000272161	0	2	1	0	4	0
ENSG00000292993	21	35	83	14	46	44
ENSG00000269896	0	0	0	0	0	0
ENSG00000272420	5	1	4	2	13	10
ENSG00000295371	0	0	0	0	0	0
RER1	1901	1971	3733	1613	3069	1838
PEX10	1010	971	1829	951	2158	1083
PLCH2	17	8	18	59	70	5
ENSG00000224387	0	0	2	2	0	1
ENSG00000229393	0	0	2	1	7	3
PANK4	672	619	822	699	1305	580
HES5	1	2	4	14	11	0
ENSG00000272449	34	26	38	40	17	1
TNFRSF14-AS1	0	1	0	0	0	2
ENSG00000307979	1	0	0	4	3	0
TNFRSF14	0	2	3	19	39	1
ENSG00000225931	0	0	0	0	0	0
ENSG00000307958	1	0	0	1	0	0
ENSG00000228037	0	0	0	0	2	1
ENSG00000289610	0	0	0	0	0	0
PRXL2B	1765	1642	3531	1556	3283	1863
MMEL1	9	11	7	28	47	10
MMEL1-AS1	0	3	10	1	8	4
TTC34	11	6	32	14	57	26
ENSG00000285945	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0
ENSG00000233234	0	0	0	0	0	0
ENSG00000287396	0	0	0	0	2	1
ENSG00000231630	0	0	0	0	0	0
ENSG00000302855	0	0	0	0	0	0
ENSG00000295089	0	0	0	0	0	0
ENSG00000300015	0	0	0	0	0	0
ENSG00000284745	0	0	0	0	0	0
ACTRT2	1	0	1	1	5	4
PRDM16-DT	2	0	36	4	4	1
PRDM16	50	36	182	40	92	57
MIR4251	0	0	0	0	0	0
ENSG00000226286	0	0	0	0	0	0
ENSG00000306427	0	0	0	0	0	0
ENSG00000279839	0	0	0	0	0	0
ENSG00000306439	0	0	0	0	0	0
ENSG00000272235	0	0	0	2	0	0
ENSG00000287828	0	1	0	0	2	0
ENSG00000286518	0	0	0	0	0	0
ENSG00000295754	0	0	0	0	0	0
ENSG00000297626	0	1	1	1	0	1
ARHGEF16	637	564	1258	308	426	264
ENSG00000272088	0	0	1	0	0	0
MEGF6	801	604	661	767	891	313
MIR551A	1	0	0	0	0	0
ENSG00000309127	0	0	0	0	0	0
ENSG00000238260	2	0	3	2	4	6
TPRG1L	1254	1161	2392	660	1226	1054
WRAP73	640	520	1136	469	739	361
TP73	237	183	301	54	86	82
TP73-AS3	0	0	0	0	1	0
TP73-AS2	0	0	0	1	0	0
GFOD3P	1723	1485	2157	1394	2620	1091
ENSG00000276189	0	0	0	0	0	0
CCDC27	4	1	6	4	11	1
ENSG00000296834	0	0	0	0	0	0
SMIM1	27	17	46	50	92	7
LRRC47	2963	2728	7299	3055	6511	3934
RN7SL574P	1	0	0	4	3	2
ENSG00000272153	0	0	3	4	13	1
CEP104	877	753	1689	495	1296	1089
DFFB	355	344	619	154	244	256
C1orf174	737	695	1312	722	1982	1170
LINC01134	10	5	21	13	26	10
LINC01346	1	0	0	3	0	3
LINC01345	0	0	0	0	0	0
LINC02780	0	0	0	0	0	0
ENSG00000284703	2	1	2	0	1	0
ENSG00000296871	0	1	0	0	0	0
ENSG00000308587	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0
ENSG00000301255	0	0	0	0	0	0
ENSG00000299169	0	0	0	0	0	0
ENSG00000302287	0	1	0	0	0	0
LINC01777	0	1	0	0	0	0
ENSG00000306535	0	0	0	0	0	0
ENSG00000284694	0	0	0	0	0	0
ENSG00000299517	0	0	0	0	0	0
ENSG00000227169	0	0	0	0	0	0
ENSG00000295490	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0
ENSG00000300565	0	0	0	0	0	0
ENSG00000303830	0	0	0	0	1	0
AJAP1	376	329	1273	755	1983	1184
ENSG00000287586	2	1	0	0	0	0
ENSG00000284739	0	0	0	0	0	0
LINC02781	1	1	0	0	0	0
ENSG00000309102	0	0	0	0	0	0
ENSG00000309111	0	0	0	0	0	0
LINC02782	4	5	5	1	2	7
ENSG00000296716	2	0	1	0	0	0
ENSG00000302269	0	0	0	0	0	0
ENSG00000306645	0	0	0	0	0	0
ENSG00000284616	0	0	0	0	0	0
ENSG00000302445	1	3	1	0	0	0
ENSG00000302452	3	0	0	0	0	2
ENSG00000295735	0	0	0	0	0	0
ENSG00000284692	0	0	0	0	0	0
ENSG00000284666	0	0	0	0	0	0
ENSG00000260972	0	0	0	0	0	0
ENSG00000299325	0	0	0	0	0	0
ENSG00000283356	0	0	0	0	0	0
ENSG00000289893	8	2	4	2	7	3
ENSG00000264341	0	0	0	0	0	0
ENSG00000295108	0	0	0	0	0	0
ENSG00000295122	0	0	0	0	0	0
ENSG00000298180	0	3	0	0	0	0
MIR4689	0	0	0	0	0	0
NPHP4	502	503	834	781	1364	483
ENSG00000299539	1	0	5	1	2	3
KCNAB2	408	369	290	352	646	157
CHD5	40	50	119	24	34	41
ENSG00000285629	0	0	0	0	0	0
RPL22	5521	5204	8962	4662	10367	8329
RNF207-AS1	4	4	12	7	11	4
RNF207	37	38	58	63	171	60
ICMT	6850	6496	13750	5911	13985	8958
ICMT-DT	132	135	329	91	183	134
HES3	458	378	2041	776	690	232
GPR153	707	591	1764	1952	3926	1153
ACOT7	4116	3838	5220	2866	6146	3011
ENSG00000271746	0	3	4	4	13	8
HES2	18	15	170	20	18	59
ESPN	761	603	730	487	599	217
MIR4252	0	0	0	0	0	0
ENSG00000231868	1	0	1	0	0	0
TNFRSF25	93	80	176	182	243	51
PLEKHG5	617	527	822	518	1034	336
ENSG00000297749	1	1	0	1	6	5
ENSG00000299237	0	1	1	2	0	0
ENSG00000299253	1	0	0	0	0	0
NOL9	633	561	1241	465	1223	1055
RNU6-731P	0	0	0	0	0	0
ENSG00000229519	0	0	0	0	0	0
TAS1R1	2	0	4	2	0	3
ZBTB48	318	286	495	303	551	186
KLHL21	696	686	1289	485	624	327
ENSG00000295286	0	0	0	0	0	0
ENSG00000304810	2	0	0	0	1	0
PHF13	1997	1832	3205	1522	2648	1269
THAP3	277	245	398	321	539	139
DNAJC11	3371	3151	7474	2621	5895	4005
LINC01672	0	0	0	0	1	0
ENSG00000284744	0	0	0	0	0	0
CAMTA1-DT	23	27	23	15	41	35
CAMTA1	1412	1183	2063	1600	5894	3544
ENSG00000227950	0	0	0	0	0	0
CAMTA1-AS3	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0
ENSG00000310450	0	0	0	0	0	0
CAMTA1-IT1	0	0	1	1	2	6
CAMTA1-AS2	0	0	0	0	1	0
ENSG00000294314	0	0	0	0	1	4
CAMTA1-AS1	0	0	0	0	0	1
ENSG00000298973	0	0	0	0	0	0
ENSG00000306883	0	0	0	0	0	0
ENSG00000302704	0	0	0	0	0	0
ENSG00000270171	1	5	2	4	13	3
ENSG00000270035	1	1	4	3	6	0
ENSG00000269978	5	5	15	19	26	4
ENSG00000300603	0	0	0	0	2	0
VAMP3	1976	1785	2258	1961	5817	2674
ENSG00000269925	2	2	2	0	2	1
PER3	364	330	291	380	1178	445
ENSG00000236266	0	0	0	0	0	0
UTS2	0	0	0	0	1	0
ENSG00000302605	0	0	0	0	0	0
TNFRSF9	0	0	0	1	0	0
ENSG00000270330	0	0	0	0	0	0
PARK7	4891	4816	7850	4372	8075	5228
ENSG00000299004	1	0	0	0	3	6
Y_RNA	85	77	134	82	249	166
ENSG00000284747	10	3	9	5	16	13
ENSG00000284716	0	0	0	0	2	0
ERRFI1	2669	2580	5962	1309	3730	4698
ERRFI1-DT	1	1	0	1	2	3
RPL7AP18	0	0	0	0	0	0
ENSG00000301325	0	0	0	0	0	0
LINC01714	6	0	3	0	0	0
ENSG00000229305	0	0	0	0	0	0
ENSG00000301344	0	0	0	0	0	0
RNU1-7P	0	0	0	0	0	0
ENSG00000233645	0	0	0	0	0	0
ENSG00000298156	0	1	0	0	0	0
ENSG00000301025	0	0	0	0	0	1
ENSG00000301006	2	4	3	0	2	0
RNU6-991P	0	0	0	0	0	0
SLC45A1	142	98	134	103	144	48
RERE	2832	2045	4591	2057	5960	3535
RERE-AS1	0	0	2	1	1	0
ENSG00000221083	0	0	0	0	0	1
ENSG00000270282	0	0	0	0	0	0
RPL7P11	0	1	3	0	0	0
RPL7P7	0	0	0	0	0	0
ENSG00000303676	0	0	0	0	0	0
ENSG00000226545	0	0	0	0	0	0
ENSG00000228423	0	0	0	1	0	0
RPL23AP19	0	0	0	0	0	0
ENO1	102006	95784	111867	109529	151511	48547
MIR6728	0	0	0	0	0	0
ENO1-AS1	5	21	132	29	58	21
RNU6-304P	0	0	0	0	0	0
HMGN2P17	1	1	48	6	97	26
ENSG00000310107	0	0	0	0	0	0
ENSG00000232208	0	0	0	0	0	0
ENSG00000232663	0	0	0	0	0	0
ENSG00000310124	0	0	0	0	0	0
CA6	0	0	1	0	1	0
ENSG00000290109	0	0	0	0	0	0
RN7SL451P	0	0	0	0	0	0
SLC2A7	1	2	1	2	3	0
SLC2A5	1	4	16	1	5	5
ENSG00000252404	0	0	0	0	0	0
GPR157	186	197	325	166	260	112
MIR34AHG	62	43	138	144	337	127
MIR34A	0	0	0	0	0	0
ENSG00000289914	0	0	0	0	0	0
ENSG00000302015	0	0	0	0	0	0
LNCTAM34A	45	46	85	80	207	78
ENSG00000301983	0	0	3	2	5	0
ENSG00000301968	1	0	0	0	3	5
H6PD	1081	938	1414	1283	2504	738
ENSG00000302217	0	0	0	0	0	0
SPSB1	205	199	491	160	306	248
ENSG00000294252	0	0	0	0	0	0
ENSG00000296073	0	0	0	0	0	0
ENSG00000296056	0	0	0	0	0	0
ENSG00000307568	0	0	0	0	0	0
ENSG00000284652	2	5	0	0	2	3
LINC02606	6	1	8	6	14	5
RNA5SP40	0	0	0	0	0	0
ENSG00000301013	0	0	0	0	0	0
ENSG00000301030	0	0	0	0	0	0
ENSG00000306844	0	0	0	0	0	0
ENSG00000296249	0	0	0	0	0	0
ENSG00000235263	0	0	0	0	0	0
SLC25A33	480	420	832	370	975	788
ENSG00000231181	8	3	4	2	2	0
TMEM201	1201	1022	2034	1048	1875	662
ENSG00000307011	0	0	0	0	0	0
PIK3CD	1081	908	1154	554	1059	444
PIK3CD-AS1	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0
ENSG00000301080	0	0	0	0	0	1
PIK3CD-AS2	166	118	177	161	559	198
CLSTN1	5893	5374	10578	5996	10791	4057
MZT1P1	0	0	0	1	0	0
ENSG00000280113	0	0	0	0	3	0
CTNNBIP1	2169	1992	2964	2429	3747	1367
ENSG00000223989	0	0	1	0	1	0
ENSG00000285701	0	0	0	0	0	0
ENSG00000228150	4	5	12	6	14	18
LZIC	512	498	987	498	1333	964
NMNAT1	152	137	217	120	225	108
RN7SKP269	3	7	7	3	8	8
TMEM274P	0	0	0	0	0	0
MIR5697	1	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
RBP7	48	41	72	20	62	55
UBE4B	5662	4974	9229	4609	13301	8021
RPL21P21	0	0	0	0	0	0
PGAM1P11	1	0	0	0	0	0
RNU6-828P	0	0	0	1	2	0
KIF1B	4901	3935	6523	3775	10257	5800
ENSG00000264881	0	1	0	0	0	0
RNU6-37P	0	0	0	0	1	1
RN7SL731P	0	0	0	0	0	0
ENSG00000284735	0	0	0	0	1	0
ENSG00000284642	4	1	5	6	20	10
PGD	17553	16905	28237	16522	38963	19590
ENSG00000271989	4	3	1	3	7	4
CENPS-CORT	9	6	1	1	5	0
CENPS	62	50	85	40	176	184
CORT	0	5	1	2	3	0
DFFA	3779	3666	5853	2020	5227	3989
ENSG00000203469	0	1	0	0	0	0
PEX14	868	796	1611	756	1566	752
ENSG00000307253	0	0	0	0	0	0
ENSG00000287727	0	0	0	0	0	0
RN7SL614P	0	0	0	1	0	0
CASZ1	404	329	415	209	403	161
ENSG00000272078	1	1	2	1	0	1
ENSG00000298629	0	2	0	0	4	2
ENSG00000308013	1	0	0	0	0	0
ENSG00000307983	0	0	0	0	0	0
ENSG00000307999	0	0	0	0	0	0
HSPE1P24	0	0	0	0	0	0
ENSG00000308257	1	0	1	0	0	0
C1orf127	10	4	3	3	5	0
CFL1P6	1	0	1	0	0	0
TARDBP	9686	9425	13763	7198	22197	15644
MASP2	2	3	14	2	6	2
SRM	5345	4262	7707	2709	7044	4758
EXOSC10-AS1	24	24	75	25	61	66
EXOSC10	2998	2792	5070	1982	6735	5990
MTOR	5266	4318	6760	3385	8465	4083
MTOR-AS1	0	0	0	0	0	0
RNU6-537P	0	0	0	0	0	0
ANGPTL7	0	0	0	0	0	0
RNU6-291P	0	0	0	0	0	0
RPL39P6	0	0	0	0	0	0
ENSG00000309051	1	0	3	0	0	2
UBIAD1	1211	1038	1871	1017	2275	1182
UBE2V2P3	0	0	6	0	4	4
ENSG00000284646	2	1	1	0	0	0
ENSG00000302153	1	3	12	4	10	7
ENSG00000302176	0	0	0	0	0	0
MTCYBP45	0	0	0	0	0	0
ENSG00000299102	0	0	0	1	0	0
DISP3	353	254	255	532	761	107
ENSG00000285833	0	0	0	0	0	0
ENSG00000303300	0	0	0	0	0	0
LINC01647	4	0	6	2	4	0
ENSG00000284708	0	0	0	0	0	0
FBXO2	845	695	2792	480	722	837
FBXO44	497	450	1182	355	703	445
MAD2L2	5297	4791	12713	3883	8193	4710
FBXO6	23	16	34	12	15	10
DRAXIN	1473	1344	2767	2207	5014	1745
ENSG00000301523	0	0	2	0	0	1
ENSG00000305789	0	1	6	0	0	2
AGTRAP	1822	1668	3189	1501	2277	737
C1orf167	21	16	9	8	5	4
C1orf167-AS1	0	0	0	0	0	0
MTHFR	687	678	1294	791	1098	495
CLCN6	1285	1093	1533	1774	4875	1925
ENSG00000276470	0	0	0	0	0	0
ENSG00000278852	0	0	0	0	0	0
NPPA	0	0	0	0	0	0
ENSG00000275915	0	0	0	0	0	0
NPPB	0	1	0	0	0	0
SBF1P2	0	0	0	0	0	0
ENSG00000285646	1	0	1	1	0	1
RNU5E-1	0	0	0	0	0	0
RNU5E-4P	0	0	0	0	0	0
KIAA2013	1634	1505	2878	1570	2814	1269
PLOD1	2605	2418	4855	3920	7003	2285
ENSG00000287384	0	0	0	0	0	0
MFN2	3046	3037	6505	2585	4695	2550
ENSG00000270914	0	0	0	0	0	0
MIIP	1177	1056	1790	1131	1493	411
MIR6729	0	0	0	0	0	0
RN7SL649P	0	0	0	0	0	0
TNFRSF8	1066	973	4191	791	1293	1191
RNU6-777P	0	0	0	0	0	0
RPL23AP89	0	0	0	0	0	0
ENSG00000285604	0	0	0	0	0	0
ENSG00000294285	0	0	0	0	0	0
ENSG00000301863	0	0	0	0	0	0
MIR7846	0	0	0	0	0	0
TNFRSF1B	173	126	76	129	230	76
ENSG00000296888	0	0	0	0	0	0
MIR4632	0	0	0	0	0	0
ENSG00000297053	0	0	0	0	0	0
RPL10P17	0	0	0	0	0	0
SNORA70	0	0	1	3	2	2
VPS13D	1091	716	1571	576	1471	1009
ENSG00000295309	0	0	0	0	0	0
SNORA59A	6	5	2	1	6	3
LINC02766	0	0	0	0	0	0
ENSG00000309694	0	0	0	1	1	0
DHRS3	194	168	277	37	52	70
RNU6ATAC18P	0	0	0	0	0	0
MIR6730	0	0	0	0	0	0
ENSG00000305650	0	0	0	0	0	0
ENSG00000288927	3	2	3	0	2	0
AADACL4	0	0	0	0	0	0
ENSG00000226166	0	0	0	0	0	0
AADACL3	9	9	23	0	0	6
CFAP107	0	0	1	0	0	1
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
PRAMEF30P	0	0	0	0	0	0
HNRNPCL1	0	5	117	6	125	52
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
ENSG00000296105	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
RNU6-1072P	0	0	0	0	0	0
PRAMEF29P	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF28P	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
PRAMEF35P	0	0	0	0	0	0
HNRNPCL2	0	1	5	0	3	2
PRAMEF36P	0	0	0	0	0	0
ENSG00000297821	0	0	0	0	0	0
ENSG00000233336	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	0	1	9	0	1	1
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
ENSG00000295394	0	0	0	0	0	0
PRAMEF31P	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF32P	0	0	0	0	0	0
RNU6-771P	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
PRAMEF33	0	0	0	0	0	0
PRAMEF15	0	0	0	0	0	0
ENSG00000228229	0	0	0	0	0	0
PRAMEF14	0	0	0	0	0	0
PRAMEF19	0	0	0	0	0	0
PRAMEF17	0	0	0	0	0	0
PRAMEF20	0	0	0	0	0	0
ENSG00000307992	0	0	0	0	0	0
ENSG00000295011	0	0	0	0	0	0
LRRC38	9	9	8	2	10	6
ENSG00000301663	0	0	0	0	0	0
ENSG00000259961	0	1	0	0	1	0
BRWD1P1	0	0	0	0	0	0
PDPN	3035	2712	15043	4279	12609	12503
RNA5SP41	0	0	0	0	0	0
ENSG00000237445	0	0	0	0	0	1
ENSG00000295237	1	2	3	5	5	0
ENSG00000253085	0	0	0	0	0	0
PRDM2	809	695	1248	783	2665	1447
ENSG00000289380	0	0	0	0	0	0
ENSG00000304226	0	0	0	0	1	0
KAZN	439	371	1247	552	1441	908
RNU6-1265P	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0
KAZN-AS1	0	0	0	0	0	0
ENSG00000302124	0	0	0	0	0	0
TBCAP2	0	0	0	0	0	0
ENSG00000287756	0	0	0	0	0	0
ENSG00000294214	0	0	0	0	0	0
ENSG00000294586	0	5	52	7	40	53
ENSG00000293964	0	0	0	0	0	0
TMEM51-AS1	48	33	107	43	108	58
ENSG00000310342	0	0	0	0	0	0
TMEM51	338	319	809	486	1247	558
TMEM51-AS2	0	0	0	0	2	0
MFFP1	0	0	0	0	0	0
ZBTB2P1	0	0	4	0	3	2
FHAD1	89	65	81	70	190	81
EFHD2-AS1	15	6	11	7	9	6
FHAD1-AS1	0	0	2	0	0	0
ENSG00000236045	0	0	0	0	0	0
EFHD2	1201	1031	2443	1181	2308	1558
CTRC	0	0	0	0	0	0
CELA2A	0	0	0	0	0	0
CELA2B	0	0	0	0	0	0
CASP9	764	705	1258	552	1101	623
DNAJC16	823	698	1452	481	1430	1076
SCARNA21B	0	0	0	0	0	0
ENSG00000272510	2	1	2	7	7	5
AGMAT	223	205	252	130	285	139
ENSG00000237301	1	2	0	1	5	3
CHCHD2P6	173	143	172	151	117	29
RNU7-179P	0	0	0	0	0	0
ENSG00000294489	0	0	0	0	0	0
CD24P1	0	0	0	0	0	0
DDI2	1442	1215	2801	939	2462	1973
RSC1A1	0	0	0	0	0	0
PLEKHM2	2403	2158	3715	1887	3480	1509
ENSG00000271742	0	0	0	0	0	0
ENSG00000237938	0	0	3	1	0	0
SLC25A34	8	7	18	19	31	16
SLC25A34-AS1	0	0	0	0	0	0
TMEM82	28	31	14	32	29	4
ENSG00000297277	3	0	4	4	5	4
FBLIM1	3353	2955	6356	2817	5785	2552
SPEN-AS1	118	125	173	86	266	172
RPL12P14	0	0	31	2	47	17
UQCRHL	1822	1941	4149	1798	3274	2123
ENSG00000178715	235	193	437	126	271	108
SPEN	1803	1273	3416	1957	6377	3365
ENSG00000270620	0	0	0	0	0	0
ZBTB17	506	403	876	410	779	355
ENSG00000234607	0	0	0	0	0	0
ENSG00000231353	0	0	0	0	0	0
ENSG00000275503	0	0	0	0	0	0
